en	es	sound	tier
end	end	1.000	DUAL-S
free	free	1.000	DUAL-S
story	story	1.000	DUAL-S
sport	sport	1.000	DUAL-S
most	most	0.864	DUAL-S
post	post	0.864	DUAL-S
gold	gold	0.864	DUAL-S
train	tren	0.864	DUAL-S
friend	friend	0.850	DUAL-S
groups	grupos	0.850	DUAL-S
points	points	0.849	DUAL-S
court	court	0.849	DUAL-S
role	rol	0.833	DUAL-S
goal	gol	0.833	DUAL-S
pro	pro	0.833	DUAL-S
court	corte	0.828	DUAL-S
start	start	0.827	DUAL-S
links	links	0.823	DUAL-S
text	text	0.823	DUAL-S
point	point	0.823	DUAL-S
next	next	0.823	DUAL-S
strong	strong	0.823	DUAL-S
group	grupo	0.822	DUAL-S
google	google	0.821	DUAL-S
grand	grand	0.821	DUAL-S
front	front	0.821	DUAL-S
tracks	tracks	0.821	DUAL-S
frank	frank	0.821	DUAL-S
draft	draft	0.821	DUAL-S
four	four	0.815	DUAL-S
louis	luis	0.814	DUAL-S
saint	saint	0.810	DUAL-S
train	train	0.810	DUAL-S
transport	transporte	0.809	DUAL-S
baseball	beisbol	0.797	DUAL-S
part	part	0.793	DUAL-S
park	park	0.793	DUAL-S
army	army	0.793	DUAL-S
star	star	0.793	DUAL-S
arts	arts	0.793	DUAL-S
mark	mark	0.793	DUAL-S
dark	dark	0.793	DUAL-S
coach	coach	0.791	DUAL-S
transport	transportes	0.790	DUAL-S
more	more	0.789	DUAL-S
blue	blue	0.789	DUAL-S
true	true	0.789	DUAL-S
duke	duque	0.789	DUAL-S
duke	duke	0.789	DUAL-S
film	film	0.787	DUAL-S
born	born	0.787	DUAL-S
link	link	0.787	DUAL-S
best	best	0.787	DUAL-S
west	west	0.787	DUAL-S
short	short	0.787	DUAL-S
six	six	0.787	DUAL-S
lost	lost	0.787	DUAL-S
self	self	0.787	DUAL-S
test	test	0.787	DUAL-S
lord	lord	0.787	DUAL-S
fort	fort	0.787	DUAL-S
wiki	wiki	0.787	DUAL-S
chris	cris	0.787	DUAL-S
from	from	0.785	DUAL-S
last	last	0.785	DUAL-S
band	band	0.785	DUAL-S
black	black	0.785	DUAL-S
live	live	0.785	DUAL-S
track	track	0.785	DUAL-S
land	land	0.785	DUAL-S
bank	bank	0.785	DUAL-S
plan	plan	0.785	DUAL-S
camp	camp	0.785	DUAL-S
eight	eight	0.781	DUAL-S
peak	pico	0.781	DUAL-S
control	control	0.777	DUAL-S
defense	defensas	0.775	DUAL-S
main	main	0.770	DUAL-S
play	play	0.770	DUAL-S
street	street	0.768	DUAL-S
box	box	0.763	DUAL-S
stop	stop	0.763	DUAL-S
club	club	0.755	DUAL-S
much	much	0.755	DUAL-S
want	want	0.755	DUAL-S
mary	mary	0.755	DUAL-S
ground	ground	0.753	DUAL-S
copyright	copyright	0.753	DUAL-S
consensus	consensos	0.751	DUAL-S
press	prensas	0.749	DUAL-A
cross	cross	0.748	DUAL-A
road	road	0.748	DUAL-A
field	field	0.746	DUAL-A
chief	chief	0.746	DUAL-A
class	class	0.746	DUAL-A
match	match	0.745	DUAL-A
super	super	0.745	DUAL-A
super	súper	0.745	DUAL-A
far	far	0.740	DUAL-A
bar	bar	0.740	DUAL-A
mar	mar	0.740	DUAL-A
global	global	0.737	DUAL-A
software	software	0.736	DUAL-A
staff	staff	0.735	DUAL-A
report	reporte	0.735	DUAL-A
group	group	0.734	DUAL-A
when	when	0.733	DUAL-A
did	did	0.733	DUAL-A
long	long	0.733	DUAL-A
song	song	0.733	DUAL-A
set	set	0.733	DUAL-A
men	men	0.733	DUAL-A
king	king	0.733	DUAL-A
red	red	0.733	DUAL-A
led	led	0.733	DUAL-A
big	big	0.733	DUAL-A
win	win	0.733	DUAL-A
let	let	0.733	DUAL-A
ten	ten	0.733	DUAL-A
org	org	0.733	DUAL-A
mid	mid	0.733	DUAL-A
bit	bit	0.733	DUAL-A
web	web	0.733	DUAL-A
wing	wing	0.733	DUAL-A
met	met	0.733	DUAL-A
del	del	0.733	DUAL-A
boy	boy	0.733	DUAL-A
net	net	0.733	DUAL-A
des	des	0.733	DUAL-A
dec	dec	0.733	DUAL-A
can	can	0.730	DUAL-A
back	back	0.730	DUAL-A
man	man	0.730	DUAL-A
san	san	0.730	DUAL-A
act	act	0.730	DUAL-A
bad	bad	0.730	DUAL-A
afd	afd	0.730	DUAL-A
pre	pre	0.730	DUAL-A
ran	ran	0.730	DUAL-A
defense	defensa	0.730	DUAL-A
world	world	0.729	DUAL-A
friends	friends	0.728	DUAL-A
mind	mind	0.728	DUAL-A
scott	scott	0.728	DUAL-A
green	green	0.725	DUAL-A
speed	speed	0.725	DUAL-A
creek	creek	0.725	DUAL-A
show	show	0.725	DUAL-A
low	low	0.725	DUAL-A
support	soporte	0.724	DUAL-A
comment	comenta	0.715	DUAL-A
post	poste	0.714	DUAL-A
notes	notes	0.714	DUAL-A
stone	stone	0.714	DUAL-A
dec	dic	0.713	DUAL-A
force	force	0.713	DUAL-A
border	borde	0.713	DUAL-A
round	round	0.711	DUAL-A
brown	brown	0.711	DUAL-A
sound	sound	0.711	DUAL-A
may	may	0.710	DUAL-A
day	day	0.710	DUAL-A
way	way	0.710	DUAL-A
say	say	0.710	DUAL-A
bay	bay	0.710	DUAL-A
coast	costa	0.708	DUAL-A
notes	notas	0.708	DUAL-A
local	local	0.708	DUAL-A
roman	roman	0.708	DUAL-A
roman	román	0.708	DUAL-A
looks	looks	0.707	DUAL-A
report	reportar	0.706	DUAL-A
standard	standard	0.704	DUAL-A
important	importante	0.704	DUAL-A
martin	martín	0.701	DUAL-A
martin	martin	0.701	DUAL-A
not	not	0.700	DUAL-A
don	don	0.700	DUAL-A
com	com	0.700	DUAL-A
non	non	0.700	DUAL-A
top	top	0.700	DUAL-A
rock	rock	0.700	DUAL-A
got	got	0.700	DUAL-A
lot	lot	0.700	DUAL-A
shot	shot	0.700	DUAL-A
pop	pop	0.700	DUAL-A
tom	tom	0.700	DUAL-A
kong	kong	0.700	DUAL-A
consensus	consenso	0.700	DUAL-A
hard	hard	0.700	DUAL-A
massachusetts	massachusetts	0.699	DUAL-A
class	clases	0.698	DUAL-A
parts	partes	0.696	DUAL-A
faith	fe	0.696	DUAL-A
faith	fé	0.696	DUAL-A
comments	comenta	0.696	DUAL-A
projects	projects	0.695	DUAL-A
press	prensa	0.694	DUAL-A
comment	comenten	0.693	DUAL-A
referee	referí	0.693	DUAL-A
hand	hand	0.692	DUAL-A
sports	deportes	0.692	DUAL-A
march	marcha	0.691	DUAL-A
war	war	0.690	DUAL-A
cup	cup	0.690	DUAL-A
run	run	0.690	DUAL-A
sun	sun	0.690	DUAL-A
cut	cut	0.690	DUAL-A
state	state	0.690	DUAL-A
market	market	0.689	DUAL-A
important	importantes	0.689	DUAL-A
front	frente	0.688	DUAL-A
mass	mass	0.688	DUAL-A
train	trenes	0.688	DUAL-A
direct	direct	0.688	DUAL-A
text	texto	0.687	DUAL-A
lists	listas	0.687	DUAL-A
champion	champion	0.687	DUAL-A
texas	texas	0.687	DUAL-A
system	system	0.686	DUAL-A
boston	boston	0.686	DUAL-A
cricket	críquet	0.686	DUAL-A
cricket	cricket	0.686	DUAL-A
plant	planta	0.686	DUAL-A
try	tratar	0.686	DUAL-A
marine	marine	0.685	DUAL-A
numerous	numerosos	0.685	DUAL-A
hold	hold	0.685	DUAL-A
host	host	0.685	DUAL-A
brazil	brasil	0.684	DUAL-A
focus	focus	0.683	DUAL-A
coast	costas	0.683	DUAL-A
total	total	0.682	DUAL-A
port	oporto	0.680	DUAL-A
marine	marino	0.680	DUAL-A
marine	marina	0.680	DUAL-A
institute	institute	0.680	DUAL-A
force	forzar	0.679	DUAL-A
duke	ducado	0.678	DUAL-A
memorial	memorial	0.678	DUAL-A
diff	diff	0.678	DUAL-A
institute	instituto	0.676	DUAL-A
troops	tropas	0.676	DUAL-A
census	censos	0.675	DUAL-A
tour	tour	0.674	DUAL-A
beyond	beyond	0.673	DUAL-A
christian	cristian	0.672	DUAL-A
christian	cristián	0.672	DUAL-A
question	cuestión	0.672	DUAL-A
territory	territorio	0.671	DUAL-A
forces	forces	0.671	DUAL-A
square	square	0.671	DUAL-A
numerous	numerosas	0.671	DUAL-A
word	word	0.668	DUAL-A
western	western	0.668	DUAL-A
march	marchen	0.667	DUAL-A
construction	construcción	0.666	DUAL-A
construction	construccion	0.666	DUAL-A
shows	shows	0.666	DUAL-A
greek	griega	0.665	DUAL-A
greek	griego	0.665	DUAL-A
francisco	francisco	0.665	DUAL-A
plant	plantas	0.665	DUAL-A
baseball	béisbol	0.665	DUAL-A
campus	campus	0.665	DUAL-A
congress	congresos	0.664	DUAL-A
brazil	brazil	0.664	DUAL-A
practice	practicas	0.663	DUAL-A
richard	richard	0.663	DUAL-A
forward	forward	0.663	DUAL-A
control	controlar	0.663	DUAL-A
said	said	0.663	DUAL-A
paul	paul	0.663	DUAL-A
social	social	0.663	DUAL-A
need	need	0.663	DUAL-A
week	week	0.663	DUAL-A
feel	feel	0.663	DUAL-A
president	president	0.662	DUAL-A
network	network	0.662	DUAL-A
industry	industria	0.662	DUAL-A
windows	windows	0.661	DUAL-A
mexico	méxico	0.661	DUAL-A
studio	studio	0.660	DUAL-A
golden	golden	0.660	DUAL-A
marine	marinos	0.660	DUAL-A
marine	marinas	0.660	DUAL-A
independent	independent	0.660	DUAL-A
forced	forzar	0.659	DUAL-A
project	project	0.659	DUAL-A
complex	complejas	0.658	DUAL-A
complex	complejos	0.658	DUAL-A
york	york	0.658	DUAL-A
very	very	0.658	DUAL-A
think	think	0.658	DUAL-A
smith	smith	0.658	DUAL-A
dead	dead	0.657	DUAL-A
unit	unit	0.657	DUAL-A
channel	channel	0.657	DUAL-A
real	real	0.656	DUAL-A
note	note	0.655	DUAL-A
team	team	0.655	DUAL-A
league	liga	0.655	DUAL-A
east	east	0.655	DUAL-A
mean	mean	0.655	DUAL-A
deal	deal	0.655	DUAL-A
seat	seat	0.655	DUAL-A
mass	masas	0.653	DUAL-A
grand	gran	0.653	DUAL-A
crew	crew	0.652	DUAL-A
down	down	0.651	DUAL-A
bass	bass	0.651	DUAL-A
events	eventos	0.650	DUAL-A
points	puntos	0.650	DUAL-A
sport	deporte	0.649	DUAL-A
california	california	0.649	DUAL-A
oxford	oxford	0.649	DUAL-A
stars	stars	0.649	DUAL-A
special	special	0.649	DUAL-A
story	historia	0.648	DUAL-A
districts	distritos	0.648	DUAL-A
against	against	0.648	DUAL-A
note	nota	0.647	DUAL-A
greek	griegos	0.647	DUAL-A
central	central	0.647	DUAL-A
photo	photo	0.647	DUAL-A
photo	foto	0.647	DUAL-A
status	status	0.647	DUAL-A
heart	heart	0.646	DUAL-A
front	frontal	0.646	DUAL-A
victory	victory	0.646	DUAL-A
pakistan	pakistán	0.646	DUAL-A
films	films	0.645	DUAL-A
paris	paris	0.645	DUAL-A
paris	parís	0.645	DUAL-A
admin	admin	0.645	DUAL-A
latin	latin	0.645	DUAL-A
latin	latín	0.645	DUAL-A
coming	coming	0.645	DUAL-A
scottish	scottish	0.644	DUAL-A
goes	goes	0.640	DUAL-A
part	parte	0.640	DUAL-A
park	parque	0.640	DUAL-A
arts	artes	0.640	DUAL-A
soon	soon	0.640	DUAL-A
students	estudiantes	0.639	DUAL-A
previous	previos	0.639	DUAL-A
turn	turn	0.638	DUAL-A
drama	drama	0.638	DUAL-A
products	productos	0.638	DUAL-A
queen	queen	0.637	DUAL-A
peter	peter	0.637	DUAL-A
cost	coste	0.636	DUAL-A
still	still	0.635	DUAL-A
living	living	0.635	DUAL-A
class	clase	0.634	DUAL-A
mark	marca	0.634	DUAL-A
sports	deporte	0.634	DUAL-A
sport	deportes	0.634	DUAL-A
body	body	0.633	DUAL-A
present	presente	0.633	DUAL-A
party	party	0.633	DUAL-A
festival	festival	0.632	DUAL-A
mass	misas	0.631	DUAL-A
league	ligas	0.631	DUAL-A
importance	importancia	0.630	DUAL-A
list	lista	0.630	DUAL-A
form	forma	0.630	DUAL-A
rest	resto	0.630	DUAL-A
cost	costo	0.630	DUAL-A
projects	proyectos	0.630	DUAL-A
power	power	0.630	DUAL-A
code	code	0.628	DUAL-A
company	companía	0.628	DUAL-A
attention	atencion	0.628	DUAL-A
band	banda	0.628	DUAL-A
must	mosto	0.628	DUAL-A
plan	plano	0.628	DUAL-A
camp	campo	0.628	DUAL-A
complete	completa	0.628	DUAL-A
complete	completo	0.628	DUAL-A
performance	performance	0.628	DUAL-A
focus	foco	0.628	DUAL-A
contract	contractual	0.627	DUAL-A
championship	championship	0.626	DUAL-A
cross	cruz	0.626	DUAL-A
program	programa	0.626	DUAL-A
mark	marcar	0.626	DUAL-A
quality	quality	0.625	DUAL-A
talk	talk	0.625	DUAL-A
numerous	numerosa	0.624	DUAL-A
numerous	numeroso	0.624	DUAL-A
music	music	0.623	DUAL-A
global	globales	0.623	DUAL-A
six	seis	0.622	DUAL-A
stories	historias	0.622	DUAL-A
piano	piano	0.622	DUAL-A
level	level	0.621	DUAL-A
seven	seven	0.621	DUAL-A
nothing	nothing	0.621	DUAL-A
early	early	0.621	DUAL-A
leader	lider	0.621	DUAL-A
leader	líder	0.621	DUAL-A
basic	basic	0.620	DUAL-A
legal	legal	0.620	DUAL-A
park	parques	0.619	DUAL-A
rugby	rugby	0.619	DUAL-A
goals	goles	0.619	DUAL-A
victoria	victoria	0.619	DUAL-A
debut	debut	0.619	DUAL-A
basketball	básquetbol	0.618	DUAL-A
better	better	0.618	DUAL-A
congress	congreso	0.617	DUAL-A
language	lengua	0.617	DUAL-A
football	fútbol	0.616	DUAL-A
football	futbol	0.616	DUAL-A
block	bloque	0.616	DUAL-A
course	curso	0.616	DUAL-A
you	tu	0.616	DUAL-A
you	tú	0.616	DUAL-A
create	crea	0.616	DUAL-A
november	noviembre	0.615	DUAL-A
complete	completas	0.615	DUAL-A
mark	marcos	0.614	DUAL-A
century	century	0.614	DUAL-A
thomas	tomás	0.614	DUAL-A
thomas	thomas	0.614	DUAL-A
thomas	tomas	0.614	DUAL-A
key	key	0.613	DUAL-A
september	septiembre	0.613	DUAL-A
complete	completar	0.613	DUAL-A
champions	champions	0.612	DUAL-A
police	policías	0.612	DUAL-A
sister	sister	0.612	DUAL-A
process	procesos	0.612	DUAL-A
forced	forzado	0.612	DUAL-A
forced	forzada	0.612	DUAL-A
royal	real	0.611	DUAL-A
master	master	0.611	DUAL-A
master	máster	0.611	DUAL-A
program	programar	0.610	DUAL-A
great	gran	0.610	DUAL-A
light	light	0.610	DUAL-A
night	night	0.610	DUAL-A
fight	fight	0.610	DUAL-A
rural	rural	0.610	DUAL-A
metal	metal	0.610	DUAL-A
practice	practica	0.609	DUAL-A
practice	práctica	0.609	DUAL-A
bishop	bishop	0.609	DUAL-A
district	distrito	0.609	DUAL-A
squadron	escuadrón	0.608	DUAL-A
david	david	0.608	DUAL-A
mount	monte	0.607	DUAL-A
record	récord	0.607	DUAL-A
edward	edward	0.607	DUAL-A
programs	programas	0.607	DUAL-A
hit	hit	0.606	DUAL-A
complex	compleja	0.606	DUAL-A
complex	complejo	0.606	DUAL-A
paper	paper	0.606	DUAL-A
senior	senior	0.605	DUAL-A
creation	creación	0.605	DUAL-A
union	union	0.605	DUAL-A
union	unión	0.605	DUAL-A
trying	tratando	0.605	DUAL-A
source	source	0.604	DUAL-A
much	mucho	0.604	DUAL-A
mary	maría	0.604	DUAL-A
texas	tejas	0.604	DUAL-A
small	small	0.603	DUAL-A
round	ronda	0.602	DUAL-A
saint	santo	0.602	DUAL-A
saint	santa	0.602	DUAL-A
census	censo	0.601	DUAL-A
months	meses	0.601	DUAL-A
parliament	parlamento	0.601	DUAL-A
forced	forzados	0.601	DUAL-A
prior	prior	0.601	DUAL-A
wikipedia	wikipedia	0.601	DUAL-A
centre	centre	0.601	DUAL-A
forms	formas	0.601	DUAL-A
contract	contractuales	0.600	DUAL-A
port	puerto	0.599	DUAL-B
troops	tropa	0.599	DUAL-B
primary	primario	0.598	DUAL-B
primary	primaria	0.598	DUAL-B
construction	construcciones	0.598	DUAL-B
around	around	0.598	DUAL-B
discussion	discusión	0.598	DUAL-B
single	single	0.597	DUAL-B
temple	temple	0.597	DUAL-B
simple	simple	0.597	DUAL-B
style	style	0.597	DUAL-B
prime	prime	0.597	DUAL-B
languages	lenguas	0.597	DUAL-B
stadium	stadium	0.597	DUAL-B
contract	contrato	0.597	DUAL-B
frank	franco	0.596	DUAL-B
practice	practicar	0.596	DUAL-B
racing	racing	0.596	DUAL-B
prince	prince	0.596	DUAL-B
center	centro	0.595	DUAL-B
centre	centro	0.595	DUAL-B
today	today	0.595	DUAL-B
final	final	0.595	DUAL-B
china	china	0.595	DUAL-B
naval	naval	0.595	DUAL-B
create	crear	0.595	DUAL-B
running	running	0.595	DUAL-B
english	inglés	0.595	DUAL-B
english	ingles	0.595	DUAL-B
fort	fuerte	0.595	DUAL-B
add	add	0.595	DUAL-B
product	producto	0.594	DUAL-B
april	april	0.594	DUAL-B
label	label	0.594	DUAL-B
france	france	0.594	DUAL-B
olympic	olympic	0.594	DUAL-B
created	creó	0.594	DUAL-B
mission	mision	0.593	DUAL-B
mission	misión	0.593	DUAL-B
temple	templo	0.593	DUAL-B
systems	systems	0.592	DUAL-B
clear	claro	0.592	DUAL-B
described	descrita	0.592	DUAL-B
member	miembro	0.592	DUAL-B
event	evento	0.592	DUAL-B
point	punta	0.592	DUAL-B
point	punto	0.592	DUAL-B
christian	cristiano	0.592	DUAL-B
christian	cristiana	0.592	DUAL-B
prior	previa	0.592	DUAL-B
royal	royal	0.592	DUAL-B
mexico	méjico	0.591	DUAL-B
mexico	mexico	0.591	DUAL-B
president	presidente	0.591	DUAL-B
student	estudiante	0.591	DUAL-B
secretary	secretaría	0.591	DUAL-B
student	estudiantes	0.590	DUAL-B
administration	administración	0.590	DUAL-B
common	común	0.589	DUAL-B
primary	primarias	0.589	DUAL-B
primary	primarios	0.589	DUAL-B
resolution	resolución	0.589	DUAL-B
roman	romana	0.589	DUAL-B
roman	romano	0.589	DUAL-B
project	proyecto	0.589	DUAL-B
president	presidenta	0.588	DUAL-B
format	formato	0.588	DUAL-B
cultural	cultural	0.587	DUAL-B
place	place	0.587	DUAL-B
space	space	0.587	DUAL-B
paper	papel	0.587	DUAL-B
reported	reportado	0.587	DUAL-B
drive	drive	0.587	DUAL-B
questions	cuestiones	0.587	DUAL-B
cross	cruce	0.586	DUAL-B
robert	robert	0.586	DUAL-B
language	lenguaje	0.586	DUAL-B
port	puertos	0.585	DUAL-B
proposed	proponía	0.585	DUAL-B
independent	independiente	0.585	DUAL-B
police	police	0.584	DUAL-B
create	crean	0.584	DUAL-B
mount	montar	0.584	DUAL-B
attendance	asistentes	0.584	DUAL-B
simple	simples	0.584	DUAL-B
off	off	0.584	DUAL-B
supported	soportado	0.583	DUAL-B
complete	completado	0.583	DUAL-B
actress	actriz	0.583	DUAL-B
christian	cristianos	0.583	DUAL-B
significant	significante	0.583	DUAL-B
frank	francos	0.583	DUAL-B
henry	enrique	0.583	DUAL-B
train	entreno	0.582	DUAL-B
please	please	0.582	DUAL-B
grade	grado	0.582	DUAL-B
section	seccion	0.581	DUAL-B
section	sección	0.581	DUAL-B
fiction	ficción	0.581	DUAL-B
mention	mención	0.581	DUAL-B
brother	brother	0.581	DUAL-B
reading	reading	0.581	DUAL-B
local	locales	0.580	DUAL-B
player	player	0.580	DUAL-B
musical	musical	0.580	DUAL-B
foreign	foreign	0.580	DUAL-B
mission	mission	0.580	DUAL-B
temple	templos	0.580	DUAL-B
bit	bits	0.580	DUAL-B
system	sistema	0.579	DUAL-B
sites	sitios	0.579	DUAL-B
gallery	galería	0.579	DUAL-B
comments	comentarios	0.578	DUAL-B
simply	simplemente	0.578	DUAL-B
internet	internet	0.578	DUAL-B
project	proyectar	0.578	DUAL-B
command	comando	0.578	DUAL-B
singles	singles	0.578	DUAL-B
independent	independientes	0.577	DUAL-B
florida	florida	0.577	DUAL-B
block	bloqueo	0.577	DUAL-B
described	descrito	0.577	DUAL-B
france	francia	0.577	DUAL-B
limited	limited	0.577	DUAL-B
parts	piezas	0.576	DUAL-B
professional	profesional	0.576	DUAL-B
roman	romanos	0.576	DUAL-B
direct	directa	0.576	DUAL-B
direct	directo	0.576	DUAL-B
eastern	eastern	0.576	DUAL-B
master	maestro	0.576	DUAL-B
capital	capital	0.575	DUAL-B
founded	fundó	0.574	DUAL-B
founded	funda	0.574	DUAL-B
groups	agrupa	0.574	DUAL-B
foundation	fundación	0.574	DUAL-B
clubs	clubes	0.574	DUAL-B
michael	miguel	0.574	DUAL-B
common	common	0.574	DUAL-B
previous	previo	0.574	DUAL-B
captain	capitán	0.574	DUAL-B
captain	capitan	0.574	DUAL-B
bass	bajos	0.574	DUAL-B
minister	ministro	0.574	DUAL-B
minister	ministra	0.574	DUAL-B
corporation	corporación	0.574	DUAL-B
sports	deportivo	0.574	DUAL-B
michigan	michigan	0.574	DUAL-B
michigan	míchigan	0.574	DUAL-B
london	londres	0.574	DUAL-B
hong	hong	0.573	DUAL-B
hot	hot	0.573	DUAL-B
presented	presentado	0.573	DUAL-B
presented	presentada	0.573	DUAL-B
department	departamento	0.573	DUAL-B
competition	competición	0.573	DUAL-B
php	php	0.573	DUAL-B
songs	songs	0.573	DUAL-B
iran	iran	0.573	DUAL-B
iran	irán	0.573	DUAL-B
nation	nación	0.573	DUAL-B
nation	nacion	0.573	DUAL-B
christian	christian	0.572	DUAL-B
academy	academy	0.572	DUAL-B
members	miembros	0.572	DUAL-B
reason	razón	0.571	DUAL-B
reason	razon	0.571	DUAL-B
group	agrupar	0.571	DUAL-B
northern	northern	0.571	DUAL-B
per	per	0.571	DUAL-B
production	produccion	0.570	DUAL-B
production	producción	0.570	DUAL-B
famous	famosos	0.570	DUAL-B
southern	southern	0.570	DUAL-B
prior	previo	0.569	DUAL-B
described	descritos	0.569	DUAL-B
traditional	tradicional	0.569	DUAL-B
chinese	chino	0.569	DUAL-B
professional	professional	0.569	DUAL-B
completed	completada	0.569	DUAL-B
completed	completado	0.569	DUAL-B
britain	britania	0.569	DUAL-B
yes	yes	0.569	DUAL-B
rev	rev	0.569	DUAL-B
thing	thing	0.569	DUAL-B
star	estelar	0.569	DUAL-B
train	entrenar	0.568	DUAL-B
police	policia	0.568	DUAL-B
not	no	0.568	DUAL-B
federal	federal	0.567	DUAL-B
swedish	suecia	0.567	DUAL-B
presented	presentados	0.566	DUAL-B
lead	liderar	0.566	DUAL-B
total	totales	0.566	DUAL-B
million	millón	0.566	DUAL-B
million	millon	0.566	DUAL-B
artists	artistas	0.566	DUAL-B
except	excepto	0.566	DUAL-B
producer	productores	0.566	DUAL-B
list	listado	0.566	DUAL-B
results	resultados	0.565	DUAL-B
van	van	0.565	DUAL-B
studio	estudio	0.565	DUAL-B
professor	profesor	0.565	DUAL-B
chinese	chinos	0.565	DUAL-B
direct	directos	0.565	DUAL-B
direct	directas	0.565	DUAL-B
united	united	0.565	DUAL-B
assistant	asistente	0.565	DUAL-B
mountains	montes	0.565	DUAL-B
technical	tecnica	0.565	DUAL-B
technical	técnica	0.565	DUAL-B
august	august	0.564	DUAL-B
promoted	promovido	0.564	DUAL-B
continue	continúe	0.564	DUAL-B
technical	técnico	0.564	DUAL-B
national	nacional	0.564	DUAL-B
poland	polonia	0.564	DUAL-B
william	william	0.564	DUAL-B
stage	stage	0.564	DUAL-B
corporation	corporation	0.564	DUAL-B
just	just	0.564	DUAL-B
recent	reciente	0.563	DUAL-B
see	see	0.563	DUAL-B
lee	lee	0.563	DUAL-B
air	air	0.563	DUAL-B
law	ley	0.563	DUAL-B
represented	representado	0.563	DUAL-B
represented	representada	0.563	DUAL-B
