en	es	sound	tier
producer	productoras	0.563	DUAL-B
block	bloquear	0.563	DUAL-B
press	presione	0.563	DUAL-B
systems	sistemas	0.563	DUAL-B
director	director	0.562	DUAL-B
kingdom	kingdom	0.562	DUAL-B
minutes	minutos	0.562	DUAL-B
completed	completadas	0.562	DUAL-B
completed	completados	0.562	DUAL-B
columbia	colombia	0.562	DUAL-B
noted	notado	0.562	DUAL-B
places	plazas	0.562	DUAL-B
comment	comentar	0.562	DUAL-B
out	out	0.561	DUAL-B
now	now	0.561	DUAL-B
day	dia	0.561	DUAL-B
include	incluir	0.561	DUAL-B
hotel	hotel	0.561	DUAL-B
entertainment	entretenimiento	0.561	DUAL-B
personal	personal	0.561	DUAL-B
money	money	0.561	DUAL-B
bridge	bridge	0.561	DUAL-B
brothers	brothers	0.561	DUAL-B
famous	famosas	0.561	DUAL-B
continue	continúa	0.561	DUAL-B
company	compañía	0.560	DUAL-B
campaign	campaña	0.560	DUAL-B
success	exitos	0.559	DUAL-B
success	éxitos	0.559	DUAL-B
republic	republic	0.559	DUAL-B
structure	estructura	0.559	DUAL-B
entry	entrada	0.559	DUAL-B
different	diferente	0.559	DUAL-B
art	arte	0.559	DUAL-B
listed	listado	0.559	DUAL-B
formed	formado	0.559	DUAL-B
formed	formada	0.559	DUAL-B
contains	contiene	0.559	DUAL-B
critical	critica	0.558	DUAL-B
critical	crítica	0.558	DUAL-B
critical	crítico	0.558	DUAL-B
process	proceso	0.558	DUAL-B
round	redonda	0.558	DUAL-B
round	redondo	0.558	DUAL-B
into	into	0.558	DUAL-B
special	especial	0.558	DUAL-B
commission	comisión	0.557	DUAL-B
commission	comision	0.557	DUAL-B
future	future	0.557	DUAL-B
represented	representados	0.557	DUAL-B
represented	representadas	0.557	DUAL-B
profile	perfil	0.557	DUAL-B
electric	electrico	0.557	DUAL-B
electric	eléctrica	0.557	DUAL-B
electric	eléctrico	0.557	DUAL-B
electric	electrica	0.557	DUAL-B
hospital	hospital	0.557	DUAL-B
code	codigo	0.557	DUAL-B
code	código	0.557	DUAL-B
experience	experiencias	0.556	DUAL-B
prize	premio	0.556	DUAL-B
multiple	múltiple	0.556	DUAL-B
mount	montura	0.556	DUAL-B
social	sociales	0.556	DUAL-B
nation	nation	0.556	DUAL-B
days	days	0.555	DUAL-B
groups	agrupaciones	0.555	DUAL-B
accounts	cuentas	0.555	DUAL-B
material	material	0.555	DUAL-B
company	compañia	0.555	DUAL-B
recent	recientes	0.555	DUAL-B
current	corriente	0.554	DUAL-B
technical	técnicos	0.554	DUAL-B
where	where	0.554	DUAL-B
use	uso	0.554	DUAL-B
future	futuro	0.553	DUAL-B
future	futura	0.553	DUAL-B
character	carácter	0.553	DUAL-B
character	caracter	0.553	DUAL-B
continued	continuo	0.553	DUAL-B
continued	continuó	0.553	DUAL-B
parents	padres	0.553	DUAL-B
festival	festivales	0.552	DUAL-B
assembly	asamblea	0.552	DUAL-B
proposed	propuso	0.552	DUAL-B
status	estatus	0.552	DUAL-B
more	más	0.552	DUAL-B
more	mas	0.552	DUAL-B
collection	colección	0.552	DUAL-B
collection	coleccion	0.552	DUAL-B
structures	estructuras	0.552	DUAL-B
concept	concepto	0.552	DUAL-B
include	incluye	0.552	DUAL-B
away	away	0.551	DUAL-B
some	some	0.551	DUAL-B
east	este	0.551	DUAL-B
pass	pase	0.551	DUAL-B
forest	forestal	0.551	DUAL-B
bar	barra	0.551	DUAL-B
car	carro	0.551	DUAL-B
central	centrales	0.551	DUAL-B
campaign	campañas	0.551	DUAL-B
saint	san	0.551	DUAL-B
different	diferentes	0.551	DUAL-B
representatives	representantes	0.551	DUAL-B
junior	júnior	0.551	DUAL-B
junior	junior	0.551	DUAL-B
sir	sir	0.551	DUAL-B
natural	natural	0.551	DUAL-B
problem	problema	0.550	DUAL-B
office	office	0.550	DUAL-B
formed	formadas	0.550	DUAL-B
formed	formados	0.550	DUAL-B
created	creado	0.550	DUAL-B
created	creada	0.550	DUAL-B
position	posicion	0.550	DUAL-B
position	posición	0.550	DUAL-B
due	due	0.550	DUAL-B
provides	provee	0.550	DUAL-B
notable	notable	0.550	DUAL-B
descent	descenso	0.550	DUAL-B
round	redondos	0.549	DUAL-B
national	national	0.549	DUAL-B
police	policía	0.549	DUAL-B
magazine	magazine	0.549	DUAL-B
french	francés	0.548	DUAL-B
squadron	escuadra	0.548	DUAL-B
code	códigos	0.548	DUAL-B
multiple	múltiples	0.548	DUAL-B
multiple	multiples	0.548	DUAL-B
swedish	sueco	0.548	DUAL-B
swedish	sueca	0.548	DUAL-B
standard	estándar	0.548	DUAL-B
standard	estandar	0.548	DUAL-B
young	young	0.548	DUAL-B
region	region	0.548	DUAL-B
region	región	0.548	DUAL-B
companies	compañías	0.548	DUAL-B
faculty	facultad	0.547	DUAL-B
administrative	administrativa	0.547	DUAL-B
administrative	administrativo	0.547	DUAL-B
critical	críticos	0.547	DUAL-B
include	incluya	0.547	DUAL-B
female	femenino	0.547	DUAL-B
columbia	columbia	0.547	DUAL-B
cross	cruzado	0.547	DUAL-B
process	procesar	0.547	DUAL-B
washington	washington	0.547	DUAL-B
completely	completamente	0.546	DUAL-B
net	neto	0.546	DUAL-B
net	neta	0.546	DUAL-B
include	incluyen	0.546	DUAL-B
sun	sol	0.546	DUAL-B
johnson	johnson	0.546	DUAL-B
external	externa	0.545	DUAL-B
second	segunda	0.545	DUAL-B
second	segundo	0.545	DUAL-B
quality	cualidad	0.545	DUAL-B
head	head	0.545	DUAL-B
external	externo	0.545	DUAL-B
september	setiembre	0.545	DUAL-B
location	localización	0.544	DUAL-B
december	diciembre	0.544	DUAL-B
cup	copa	0.544	DUAL-B
act	acta	0.544	DUAL-B
act	acto	0.544	DUAL-B
pass	paso	0.544	DUAL-B
pass	pasa	0.544	DUAL-B
map	mapa	0.544	DUAL-B
mass	masa	0.544	DUAL-B
response	respuesta	0.544	DUAL-B
station	estacion	0.543	DUAL-B
station	estación	0.543	DUAL-B
arts	arte	0.543	DUAL-B
bar	bares	0.543	DUAL-B
problem	problemas	0.543	DUAL-B
isbn	isbn	0.543	DUAL-B
includes	incluye	0.543	DUAL-B
half	half	0.543	DUAL-B
administrative	administrativos	0.543	DUAL-B
administrative	administrativas	0.543	DUAL-B
companies	compañias	0.543	DUAL-B
property	propiedad	0.543	DUAL-B
created	creados	0.543	DUAL-B
created	creadas	0.543	DUAL-B
notable	notables	0.542	DUAL-B
include	incluyan	0.542	DUAL-B
society	society	0.542	DUAL-B
professor	profesora	0.541	DUAL-B
provide	proveer	0.541	DUAL-B
promoted	promocionada	0.541	DUAL-B
promoted	promocionado	0.541	DUAL-B
swedish	suecos	0.541	DUAL-B
contemporary	contemporáneo	0.541	DUAL-B
contemporary	contemporánea	0.541	DUAL-B
commander	comandante	0.541	DUAL-B
than	than	0.540	DUAL-B
faith	faith	0.540	DUAL-B
continue	continuar	0.540	DUAL-B
states	estados	0.540	DUAL-B
politics	políticos	0.540	DUAL-B
politics	politicas	0.540	DUAL-B
politics	políticas	0.540	DUAL-B
commercial	comercial	0.539	DUAL-B
party	parte	0.539	DUAL-B
financial	financial	0.539	DUAL-B
problems	problemas	0.539	DUAL-B
will	will	0.539	DUAL-B
full	full	0.539	DUAL-B
bill	bill	0.539	DUAL-B
director	directora	0.539	DUAL-B
racing	regatas	0.539	DUAL-B
prize	premiado	0.539	DUAL-B
division	division	0.539	DUAL-B
division	división	0.539	DUAL-B
community	comunidad	0.538	DUAL-B
second	segundos	0.538	DUAL-B
second	segundas	0.538	DUAL-B
province	provincia	0.538	DUAL-B
prince	principe	0.537	DUAL-B
prince	príncipe	0.537	DUAL-B
champion	campeón	0.537	DUAL-B
champion	campeon	0.537	DUAL-B
days	dias	0.537	DUAL-B
mountain	montaña	0.537	DUAL-B
need	necesidad	0.537	DUAL-B
today	hoy	0.537	DUAL-B
secretary	secretaria	0.537	DUAL-B
secretary	secretario	0.537	DUAL-B
australia	australia	0.537	DUAL-B
contemporary	contemporáneas	0.537	DUAL-B
contemporary	contemporáneos	0.537	DUAL-B
love	love	0.537	DUAL-B
nations	naciones	0.536	DUAL-B
reference	referencia	0.536	DUAL-B
external	externos	0.536	DUAL-B
move	mudanza	0.536	DUAL-B
von	von	0.536	DUAL-B
different	distinta	0.536	DUAL-B
different	distinto	0.536	DUAL-B
month	mes	0.535	DUAL-B
day	día	0.535	DUAL-B
pennsylvania	pensilvania	0.535	DUAL-B
proposed	propuesto	0.535	DUAL-B
proposed	propuesta	0.535	DUAL-B
michael	michael	0.535	DUAL-B
decision	decision	0.535	DUAL-B
decision	decisión	0.535	DUAL-B
use	usar	0.535	DUAL-B
included	incluida	0.534	DUAL-B
included	incluído	0.534	DUAL-B
included	incluido	0.534	DUAL-B
emperor	emperador	0.534	DUAL-B
africa	africa	0.534	DUAL-B
africa	áfrica	0.534	DUAL-B
irish	irish	0.534	DUAL-B
semi	semi	0.534	DUAL-B
soviet	soviética	0.534	DUAL-B
founded	fundado	0.533	DUAL-B
founded	fundada	0.533	DUAL-B
statistics	estadísticas	0.533	DUAL-B
forest	forestales	0.533	DUAL-B
soviet	soviético	0.533	DUAL-B
too	too	0.533	DUAL-B
fair	feria	0.533	DUAL-B
https	https	0.533	DUAL-B
corps	corps	0.533	DUAL-B
net	netos	0.533	DUAL-B
after	after	0.533	DUAL-B
mother	madre	0.533	DUAL-B
cut	corte	0.533	DUAL-B
letter	letra	0.533	DUAL-B
alone	alone	0.533	DUAL-B
majority	mayoría	0.532	DUAL-B
establishments	establecimientos	0.532	DUAL-B
tournament	torneo	0.532	DUAL-B
movement	movimiento	0.532	DUAL-B
comment	comentario	0.532	DUAL-B
over	over	0.532	DUAL-B
units	unidades	0.532	DUAL-B
taking	teniendo	0.532	DUAL-B
democratic	democrática	0.532	DUAL-B
democratic	democrático	0.532	DUAL-B
great	grandioso	0.532	DUAL-B
anti	anti	0.531	DUAL-B
mountain	montañas	0.531	DUAL-B
uses	usos	0.531	DUAL-B
map	mapas	0.531	DUAL-B
passed	pasó	0.531	DUAL-B
founder	fundador	0.531	DUAL-B
french	franceses	0.530	DUAL-B
drama	dramática	0.530	DUAL-B
drama	dramático	0.530	DUAL-B
india	india	0.530	DUAL-B
rev	reverendo	0.530	DUAL-B
different	distintos	0.530	DUAL-B
culture	cultura	0.530	DUAL-B
route	ruta	0.529	DUAL-B
proposed	propuestas	0.529	DUAL-B
lot	lote	0.529	DUAL-B
content	contenido	0.529	DUAL-B
television	television	0.529	DUAL-B
television	televisión	0.529	DUAL-B
mass	misa	0.529	DUAL-B
contains	contenga	0.529	DUAL-B
guitar	guitarra	0.529	DUAL-B
included	incluidos	0.529	DUAL-B
included	incluidas	0.529	DUAL-B
mountains	montaña	0.529	DUAL-B
name	name	0.528	DUAL-B
make	make	0.528	DUAL-B
case	case	0.528	DUAL-B
date	date	0.528	DUAL-B
base	base	0.528	DUAL-B
digital	digital	0.528	DUAL-B
movie	movie	0.528	DUAL-B
function	función	0.528	DUAL-B
category	categoría	0.528	DUAL-B
its	sus	0.528	DUAL-B
alone	solo	0.528	DUAL-B
candidate	candidata	0.528	DUAL-B
candidate	candidato	0.528	DUAL-B
england	inglaterra	0.527	DUAL-B
education	educación	0.527	DUAL-B
education	educacion	0.527	DUAL-B
pass	pasen	0.527	DUAL-B
assembly	ensamblaje	0.527	DUAL-B
references	referencias	0.527	DUAL-B
majority	mayorías	0.527	DUAL-B
commander	comendador	0.527	DUAL-B
color	color	0.526	DUAL-B
actor	actor	0.526	DUAL-B
pass	pasar	0.526	DUAL-B
cut	corta	0.526	DUAL-B
movement	movimientos	0.526	DUAL-B
mountains	montañas	0.526	DUAL-B
democratic	democráticos	0.526	DUAL-B
register	registro	0.526	DUAL-B
comments	comentario	0.526	DUAL-B
access	access	0.526	DUAL-B
including	incluida	0.526	DUAL-B
including	incluido	0.526	DUAL-B
put	pon	0.526	DUAL-B
peace	paz	0.526	DUAL-B
council	consejo	0.525	DUAL-B
pennsylvania	pennsylvania	0.525	DUAL-B
calculated	calculada	0.525	DUAL-B
calculated	calculado	0.525	DUAL-B
secondary	secundaria	0.525	DUAL-B
secondary	secundario	0.525	DUAL-B
religion	religion	0.525	DUAL-B
religion	religión	0.525	DUAL-B
series	series	0.525	DUAL-B
private	privado	0.525	DUAL-B
private	privada	0.525	DUAL-B
attacks	ataques	0.525	DUAL-B
series	serie	0.524	DUAL-B
french	francesa	0.524	DUAL-B
regional	regional	0.524	DUAL-B
heavy	heavy	0.524	DUAL-B
characters	caracteres	0.524	DUAL-B
soviet	soviéticas	0.524	DUAL-B
content	contenidos	0.524	DUAL-B
command	comandancia	0.524	DUAL-B
latin	latino	0.524	DUAL-B
latin	latina	0.524	DUAL-B
soviet	soviéticos	0.524	DUAL-B
family	famila	0.523	DUAL-B
redirect	redirigir	0.523	DUAL-B
camp	campamento	0.523	DUAL-B
leading	liderando	0.523	DUAL-B
including	incluyendo	0.523	DUAL-B
external	exterior	0.523	DUAL-B
discussion	discusiones	0.523	DUAL-B
never	never	0.523	DUAL-B
training	entrenando	0.523	DUAL-B
security	seguridad	0.523	DUAL-B
market	mercado	0.523	DUAL-B
candidate	candidatos	0.522	DUAL-B
case	caso	0.522	DUAL-B
appropriate	apropiada	0.522	DUAL-B
appropriate	apropiado	0.522	DUAL-B
bank	banca	0.522	DUAL-B
bank	banco	0.522	DUAL-B
associated	associated	0.522	DUAL-B
ohio	ohio	0.522	DUAL-B
continued	continuado	0.522	DUAL-B
care	care	0.522	DUAL-B
rock	roca	0.521	DUAL-B
leading	liderar	0.521	DUAL-B
north	norte	0.521	DUAL-B
including	incluidos	0.521	DUAL-B
tournament	torneos	0.521	DUAL-B
cover	cover	0.521	DUAL-B
international	internacional	0.521	DUAL-B
producer	productor	0.520	DUAL-B
space	espaciales	0.520	DUAL-B
calculated	calculados	0.520	DUAL-B
private	privados	0.520	DUAL-B
private	privadas	0.520	DUAL-B
secondary	secundarios	0.520	DUAL-B
secondary	secundarias	0.520	DUAL-B
fort	fortaleza	0.520	DUAL-B
experience	experiencia	0.520	DUAL-B
html	html	0.520	DUAL-B
continued	continuación	0.520	DUAL-B
architecture	arquitectura	0.519	DUAL-B
american	american	0.519	DUAL-B
individual	individual	0.519	DUAL-B
middle	middle	0.519	DUAL-B
categories	categorías	0.519	DUAL-B
association	asociación	0.519	DUAL-B
form	formulario	0.519	DUAL-B
double	doble	0.519	DUAL-B
annual	anual	0.519	DUAL-B
votes	votos	0.518	DUAL-B
alone	solos	0.518	DUAL-B
interest	interes	0.518	DUAL-B
interest	interés	0.518	DUAL-B
camp	campamentos	0.518	DUAL-B
appropriate	apropiadas	0.518	DUAL-B
nomination	nominación	0.518	DUAL-B
democratic	demócrata	0.518	DUAL-B
professional	profesionales	0.518	DUAL-B
days	días	0.518	DUAL-B
appropriate	apropiados	0.518	DUAL-B
blocked	bloqueada	0.518	DUAL-B
blocked	bloqueado	0.518	DUAL-B
bbc	bbc	0.517	DUAL-B
attendance	asistencia	0.517	DUAL-B
regiment	regimiento	0.517	DUAL-B
australian	australiano	0.517	DUAL-B
australian	australiana	0.517	DUAL-B
peter	pedro	0.517	DUAL-B
time	time	0.516	DUAL-B
like	like	0.516	DUAL-B
life	life	0.516	DUAL-B
line	line	0.516	DUAL-B
site	site	0.516	DUAL-B
white	white	0.516	DUAL-B
type	type	0.516	DUAL-B
fine	fine	0.516	DUAL-B
nine	nine	0.516	DUAL-B
mike	mike	0.516	DUAL-B
death	death	0.516	DUAL-B
bay	bahía	0.516	DUAL-B
population	población	0.516	DUAL-B
again	again	0.516	DUAL-B
central	céntrica	0.516	DUAL-B
property	propiedades	0.516	DUAL-B
events	acontecimientos	0.516	DUAL-B
website	web	0.516	DUAL-B
central	céntrico	0.516	DUAL-B
notability	notabilidad	0.515	DUAL-B
moving	mudanza	0.515	DUAL-B
music	música	0.515	DUAL-B
music	musica	0.515	DUAL-B
cultural	cultura	0.515	DUAL-B
result	resultado	0.515	DUAL-B
latin	latinas	0.515	DUAL-B
action	acción	0.515	DUAL-B
action	accion	0.515	DUAL-B
family	familia	0.515	DUAL-B
municipality	municipalidad	0.514	DUAL-B
cases	cases	0.514	DUAL-B
cut	corten	0.514	DUAL-B
korea	corea	0.514	DUAL-B
korea	korea	0.514	DUAL-B
entire	enteras	0.514	DUAL-B
committee	comite	0.514	DUAL-B
committee	comité	0.514	DUAL-B
active	activo	0.514	DUAL-B
active	activa	0.514	DUAL-B
effect	efecto	0.514	DUAL-B
blocked	bloqueadas	0.514	DUAL-B
blocked	bloqueados	0.514	DUAL-B
photo	fotografía	0.514	DUAL-B
fine	bien	0.513	DUAL-B
analysis	analisis	0.513	DUAL-B
analysis	análisis	0.513	DUAL-B
cut	cortar	0.513	DUAL-B
dance	danza	0.513	DUAL-B
british	británicos	0.513	DUAL-B
similar	similar	0.513	DUAL-B
competition	competencia	0.513	DUAL-B
rock	rocas	0.513	DUAL-B
tom	tomás	0.513	DUAL-B
united	unió	0.513	DUAL-B
computer	computadora	0.513	DUAL-B
data	data	0.513	DUAL-B
australian	australianas	0.513	DUAL-B
australian	australianos	0.513	DUAL-B
communities	comunidades	0.512	DUAL-B
tower	torre	0.512	DUAL-B
data	dato	0.512	DUAL-B
ontario	ontario	0.512	DUAL-B
album	álbum	0.512	DUAL-B
album	album	0.512	DUAL-B
always	always	0.512	DUAL-B
cultural	culturales	0.512	DUAL-B
indian	india	0.512	DUAL-B
records	records	0.512	DUAL-B
real	reales	0.512	DUAL-B
listing	listado	0.512	DUAL-B
founder	fundadora	0.512	DUAL-B
international	international	0.511	DUAL-B
subsequent	subsiguiente	0.511	DUAL-B
indian	indio	0.511	DUAL-B
human	humano	0.511	DUAL-B
human	humana	0.511	DUAL-B
brown	marrón	0.511	DUAL-B
march	marzo	0.511	DUAL-B
descent	descendencia	0.511	DUAL-B
culture	cultivo	0.511	DUAL-B
double	dobles	0.511	DUAL-B
religious	religiosos	0.510	DUAL-B
forms	formularios	0.510	DUAL-B
founder	fundadores	0.510	DUAL-B
type	tipo	0.510	DUAL-B
fine	fino	0.510	DUAL-B
british	británico	0.510	DUAL-B
british	británica	0.510	DUAL-B
encyclopedia	enciclopedia	0.510	DUAL-B
minor	menor	0.510	DUAL-B
indian	hindú	0.509	DUAL-B
center	center	0.509	DUAL-B
historic	historico	0.509	DUAL-B
historic	histórico	0.509	DUAL-B
historic	histórica	0.509	DUAL-B
under	under	0.509	DUAL-B
move	mover	0.509	DUAL-B
topic	tópico	0.509	DUAL-B
computer	computadoras	0.509	DUAL-B
basic	básica	0.509	DUAL-B
basic	básico	0.509	DUAL-B
traditional	tradicionales	0.509	DUAL-B
artist	artista	0.509	DUAL-B
cases	casos	0.509	DUAL-B
training	entrenamiento	0.509	DUAL-B
caused	causó	0.508	DUAL-B
subsequent	subsiguientes	0.508	DUAL-B
useful	util	0.508	DUAL-B
useful	útil	0.508	DUAL-B
river	rio	0.508	DUAL-B
river	río	0.508	DUAL-B
know	know	0.508	DUAL-B
opinion	opinion	0.507	DUAL-B
opinion	opinión	0.507	DUAL-B
basic	básicas	0.507	DUAL-B
south	sur	0.507	DUAL-B
legal	legales	0.507	DUAL-B
sir	senor	0.507	DUAL-B
light	luz	0.507	DUAL-B
understand	entender	0.507	DUAL-B
active	activos	0.506	DUAL-B
amount	monto	0.506	DUAL-B
families	familias	0.506	DUAL-B
made	made	0.506	DUAL-B
preserved	preservado	0.506	DUAL-B
tower	tower	0.506	DUAL-B
little	little	0.506	DUAL-B
technology	tecnología	0.505	DUAL-B
exist	existo	0.505	DUAL-B
olympic	olímpica	0.505	DUAL-B
olympic	olímpico	0.505	DUAL-B
entered	entró	0.505	DUAL-B
produced	producido	0.505	DUAL-B
produced	producida	0.505	DUAL-B
http	http	0.505	DUAL-B
religious	religiosas	0.505	DUAL-B
data	datos	0.505	DUAL-B
family	familiar	0.505	DUAL-B
race	race	0.505	DUAL-B
face	face	0.505	DUAL-B
families	familia	0.505	DUAL-B
olympics	olimpiadas	0.505	DUAL-B
five	five	0.505	DUAL-B
cause	cause	0.505	DUAL-B
media	media	0.505	DUAL-B
mary	maria	0.504	DUAL-B
african	africana	0.504	DUAL-B
african	africano	0.504	DUAL-B
human	humanas	0.504	DUAL-B
human	humanos	0.504	DUAL-B
indian	indios	0.504	DUAL-B
run	corran	0.504	DUAL-B
significant	significativo	0.504	DUAL-B
significant	significativa	0.504	DUAL-B
attention	atención	0.504	DUAL-B
times	times	0.504	DUAL-B
lines	lines	0.504	DUAL-B
miles	miles	0.504	DUAL-B
mind	mente	0.504	DUAL-B
launched	lanzó	0.504	DUAL-B
site	sitio	0.504	DUAL-B
age	edad	0.504	DUAL-B
israel	israel	0.504	DUAL-B
radio	radio	0.503	DUAL-B
recently	recientemente	0.503	DUAL-B
canada	canadá	0.503	DUAL-B
historic	históricas	0.503	DUAL-B
historic	históricos	0.503	DUAL-B
empire	empire	0.503	DUAL-B
separate	separar	0.503	DUAL-B
producer	productora	0.503	DUAL-B
entire	entero	0.503	DUAL-B
artist	artistas	0.502	DUAL-B
basic	básicos	0.502	DUAL-B
register	registrarse	0.502	DUAL-B
produced	producidos	0.502	DUAL-B
municipality	municipio	0.502	DUAL-B
elected	electo	0.502	DUAL-B
direct	directamente	0.502	DUAL-B
civil	civil	0.502	DUAL-B
rural	rurales	0.502	DUAL-B
association	association	0.502	DUAL-B
technology	tecnologia	0.501	DUAL-B
singer	singer	0.501	DUAL-B
southern	sur	0.501	DUAL-B
follow	follow	0.501	DUAL-B
party	partido	0.501	DUAL-B
gallery	galeria	0.501	DUAL-B
significant	significativos	0.501	DUAL-B
significant	significativas	0.501	DUAL-B
episode	episodio	0.500	DUAL-B
chris	chris	0.500	DUAL-B
table	tabla	0.500	DUAL-B
previously	previamente	0.500	DUAL-B
minor	minor	0.500	DUAL-B
considered	considerada	0.500	DUAL-B
considered	considerado	0.500	DUAL-B
unit	unidad	0.500	DUAL-B
introduced	introducido	0.500	DUAL-B
introduced	introducida	0.500	DUAL-B
olympic	olímpicos	0.499	DUAL-B
understand	entiende	0.499	DUAL-B
editor	editor	0.499	DUAL-B
regular	regular	0.499	DUAL-B
famous	famosa	0.499	DUAL-B
famous	famoso	0.499	DUAL-B
african	africanos	0.499	DUAL-B
african	africanas	0.499	DUAL-B
admin	administración	0.499	DUAL-B
raised	recaudado	0.499	DUAL-B
league	league	0.498	DUAL-B
poor	pobre	0.498	DUAL-B
lake	lago	0.498	DUAL-B
race	raza	0.498	DUAL-B
cause	causa	0.498	DUAL-B
official	oficial	0.498	DUAL-B
port	babor	0.498	DUAL-B
media	medios	0.498	DUAL-B
access	accesos	0.498	DUAL-B
people	pueblo	0.498	DUAL-B
species	especies	0.498	DUAL-B
