score	en	fr	en_ipa	chunk_recipe
1.0	wrest	reste	ɹɛst	ɹɛ+st
1.0	wreaks	rixe	ɹiːks	ɹi+ks
1.0	truce	trousse	tɹuːs	tɹ+us
1.0	troupe	troupes	tɹuːp	tɹ+up
1.0	tret	traite	tɹɛt	tɹ+ɛt
1.0	tress	tresses	tɹɛs	tɹ+ɛs
1.0	trawl	troll	tɹɔːl	tɹ+ɔl
1.0	titi	titi	tiːti	ti+ti
1.0	testa	tester	tɛstɐ	tɛs+tɐ
1.0	terrine	terrine	tɛɹiːn	tɛɹ+in
1.0	tepee	tipi	tiːpiː	ti+pi
1.0	teepee	tipi	tiːpiː	ti+pi
1.0	taller	tollé	tɔːlɐ	tɔ+lɐ
1.0	stree	stries	stɹiː	st+ɹi
1.0	streaked	strict	stɹiːkt	stɹi+kt
1.0	stork	stock	stɔːk	st+ɔk
1.0	stealer	stylé	stiːlɐ	sti+lɐ
1.0	spleen	spleen	spliːn	spl+in
1.0	shooter	shooter	ʃuːtɐ	ʃu+tɐ
1.0	shiest	schiste	ʃiːst	ʃi+st
1.0	settler	sait les	sɛtlɐ	sɛt+lɐ
1.0	secs	sexe	sɛks	sɛ+ks
1.0	rupee	roupies	ɹuːpiː	ɹu+pi
1.0	rumen	roumaine	ɹuːmɛn	ɹu+mɛn
1.0	roulette	roulette	ɹuːlɛt	ɹul+ɛt
1.0	roost	rouste	ɹuːst	ɹu+st
1.0	reeks	rixe	ɹiːks	ɹi+ks
1.0	pled	plaide	plɛd	pl+ɛd
1.0	phlegm	flemme	flɛm	fl+ɛm
1.0	petit	petit	pətiː	pə+ti
1.0	peeler	pilé	piːlɐ	pi+lɐ
1.0	peaty	pythie	piːti	pi+ti
1.0	moolah	moulé	muːlɐ	mu+lɐ
1.0	metre	mité	miːtɐ	mi+tɐ
1.0	meanie	mini	miːni	mi+ni
1.0	lulu	loulou	luːluː	lu+lu
1.0	lest	lest	lɛst	lɛ+st
1.0	kookie	cookie	kuːki	ku+ki
1.0	jeep	jeep	dʒiːp	dʒ+ip
1.0	groupie	groupies	ɡɹuːpi	ɡɹu+pi
1.0	groom	groom	ɡɹuːm	ɡɹ+um
1.0	grieve	grive	ɡɹiːv	ɡɹ+iv
1.0	greave	grive	ɡɹiːv	ɡɹ+iv
1.0	frieze	frise	fɹiːz	fɹ+iz
1.0	fret	fret	fɹɛt	fɹ+ɛt
1.0	frees	frise	fɹiːz	fɹ+iz
1.0	fraught	frotte	fɹɔːt	fɹ+ɔt
1.0	forks	fox	fɔːks	fɔ+ks
1.0	forby	phobie	fɔːbi	fɔ+bi
1.0	flues	flouze	fluːz	fl+uz
1.0	fila	filer	fiːlɐ	fi+lɐ
1.0	fetter	fêter	fɛtɐ	fɛ+tɐ
1.0	feeler	filer	fiːlɐ	fi+lɐ
1.0	ester	ester	ɛstɐ	ɛs+tɐ
1.0	doormen	domaine	dɔːmɛn	dɔ+mɛn
1.0	dealer	dealer	diːlɐ	di+lɐ
1.0	cruse	crous	kɹuːs	kɹ+us
1.0	cruet	croûte	kɹuːt	kɹ+ut
1.0	croup	croupe	kɹuːp	kɹ+up
1.0	creme	crime	kɹiːm	kɹ+im
1.0	crees	crise	kɹiːz	kɹ+iz
1.0	creek	crique	kɹiːk	kɹ+ik
1.0	crease	crisse	kɹiːs	kɹ+is
1.0	creak	crique	kɹiːk	kɹ+ik
1.0	corder	codé	kɔːdɐ	kɔ+dɐ
1.0	cootie	coutil	kuːti	ku+ti
1.0	coolly	coulis	kuːli	ku+li
1.0	coolie	coulis	kuːli	ku+li
1.0	clique	clic	kliːk	kl+ik
1.0	cleek	clic	kliːk	kl+ik
1.0	cleave	clive	kliːv	kl+iv
1.0	cerise	cerise	səɹiːz	sə+ɹiz
1.0	cellar	seller	sɛlɐ	sɛ+lɐ
1.0	cauda	codé	kɔːdɐ	kɔ+dɐ
1.0	caller	coller	kɔːlɐ	kɔ+lɐ
1.0	brute	broute	bɹuːt	bɹ+ut
1.0	bruit	broute	bɹuːt	bɹ+ut
1.0	breeder	bridé	bɹiːdɐ	bɹi+dɐ
1.0	brede	bride	bɹiːd	bɹ+id
1.0	bream	brime	bɹiːm	bɹ+im
1.0	braes	brise	bɹiːz	bɹ+iz
1.0	bootee	boutis	buːtiː	bu+ti
1.0	booboo	boubou	buːbuː	bu+bu
1.0	bled	bled	blɛd	bl+ɛd
1.0	bisque	bisque	biːsk	bi+sk
1.0	beater	bitter	biːtɐ	bi+tɐ
1.0	baulks	box	bɔːks	bɔ+ks
0.988	carport	capote	kɑːpɔːt	kɑ+pɔt
0.985	tarty	tati	tɑːti	tɑ+ti
0.985	tarter	tâter	tɑːtɐ	tɑ+tɐ
0.985	tartar	tâter	tɑːtɐ	tɑ+tɐ
0.985	rata	raté	ɹɑːtɐ	ɹɑ+tɐ
0.985	parley	pâli	pɑːli	pɑ+li
0.985	parks	pacs	pɑːks	pɑ+ks
0.985	parch	patch	pɑːtʃ	pɑ+tʃ
0.985	martyr	mater	mɑːtɐ	mɑ+tɐ
0.985	marques	max	mɑːks	mɑ+ks
0.985	marquee	maquis	mɑːkiː	mɑ+ki
0.985	marly	mali	mɑːli	mɑ+li
0.985	marks	max	mɑːks	mɑ+ks
0.985	larvae	lavis	lɑːviː	lɑ+vi
0.985	khaki	kaki	kɑːki	kɑ+ki
0.985	karst	caste	kɑːst	kɑ+st
0.985	crass	crasse	kɹɑːs	kɹ+ɑs
0.985	chart	chat	tʃɑːt	tʃ+ɑt
0.985	caste	caste	kɑːst	kɑ+st
0.985	cask	casque	kɑːsk	kɑ+sk
0.983	redressed	rient reste	ɹiːdɹɛst	ɹid+ɹɛst
0.983	pressmen	près mène	pɹɛsmɛn	pɹɛs+mɛn
0.983	pectin	pectine	pɛktɪn	pɛkt+ɪn
0.983	detest	dit est	dɪtɛst	dɪ+tɛst
0.98	vestry	vais tri	vɛstɹi	vɛ+stɹi
0.98	tryst	triste	tɹɪst	tɹ+ɪst
0.98	triste	triste	tɹɪst	tɹ+ɪst
0.98	stiller	stylé	stɪlɐ	stɪ+lɐ
0.98	sentry	sain tri	sɛntɹi	sɛn+tɹi
0.98	pressie	précis	pɹɛsi	pɹɛ+si
0.98	preset	pris êtes	pɹiːsɛt	pɹi+sɛt
0.98	meting	meeting	miːtɪŋ	mit+ɪŋ
0.98	ferric	ferrique	fɛɹɪk	fɛ+ɹɪk
0.98	exes	excise	ɛksɪz	ɛks+ɪz
0.98	eschew	hissent chou	ɪstʃuː	ɪst+ʃu
0.98	disport	despote	dɪspɔːt	dɪs+pɔt
0.98	boric	borique	bɔːɹɪk	bɔ+ɹɪk
0.976	wrestler	raies les	ɹɛslɐ	ɹɛs+lɐ
0.976	vender	vin des	vɛndɐ	vɛ+ndɐ
0.976	treader	traité	tɹɛdɐ	tɹɛ+dɐ
0.976	tracks	trax	tɹæks	tɹæ+ks
0.976	testy	tester	tɛsti	tɛ+sti
0.976	steely	stylé	stiːli	sti+li
0.976	stalky	stocker	stɔːki	stɔ+ki
0.976	sender	sain des	sɛndɐ	sɛ+ndɐ
0.976	seizes	scies aise	siːzɪz	siz+ɪz
0.976	secede	ces ides	sɛsiːd	sɛ+sid
0.976	russet	recettes	ɹʌsɛt	ɹʌ+sɛt
0.976	resell	ries elle	ɹiːsɛl	ɹi+sɛl
0.976	renter	rhin tes	ɹɛntɐ	ɹɛn+tɐ
0.976	redrew	rient roues	ɹiːdɹuː	ɹid+ɹu
0.976	portly	potelée	pɔːtli	pɔt+li
0.976	pesty	pester	pɛsti	pɛ+sti
0.976	mender	main des	mɛndɐ	mɛ+ndɐ
0.976	lender	lin des	lɛndɐ	lɛ+ndɐ
0.976	freaky	friqués	fɹiːki	fɹi+ki
0.976	forepeak	phobique	fɔːpiːk	fɔ+pik
0.976	exhort	exode	ɛɡzɔːt	ɛɡz+ɔt
0.976	creepy	crépi	kɹiːpi	kɹi+pi
0.976	creamy	crimée	kɹiːmi	kɹi+mi
0.976	cosset	cassette	kɒsɛt	kɒ+sɛt
0.976	centre	sain tes	sɛntɐ	sɛn+tɐ
0.976	censure	sain chez	sɛnʃɐ	sɛn+ʃɐ
0.976	bender	ben des	bɛndɐ	bɛ+ndɐ
0.975	yeti	yeti	jɛti	jɛ+ti
0.975	trot	trotte	tɹɒt	tɹ+ɒt
0.975	titty	titi	tɪti	tɪ+ti
0.975	tipi	tipi	tɪpi	tɪ+pi
0.975	tilt	tilt	tɪlt	tɪ+lt
0.975	teller	télé	tɛlɐ	tɛ+lɐ
0.975	swing	swing	swɪŋ	sw+ɪŋ
0.975	sorter	sauter	sɔːtɐ	sɔ+tɐ
0.975	sorta	sauter	sɔːtɐ	sɔ+tɐ
0.975	sitter	cité	sɪtɐ	sɪ+tɐ
0.975	sitar	cité	sɪtɐ	sɪ+tɐ
0.975	shimmy	chimie	ʃɪmi	ʃɪ+mi
0.975	sherry	chérie	ʃɛɹi	ʃɛ+ɹi
0.975	schist	schiste	ʃɪst	ʃɪ+st
0.975	ricks	rixe	ɹɪks	ɹɪ+ks
0.975	quin	couine	kwɪn	kw+ɪn
0.975	quid	quid	kwɪd	kw+ɪd
0.975	quick	couic	kwɪk	kw+ɪk
0.975	prawn	prône	pɹɔːn	pɹ+ɔn
0.975	piste	piste	pɪst	pɪ+st
0.975	pillar	pilé	pɪlɐ	pɪ+lɐ
0.975	petter	péter	pɛtɐ	pɛ+tɐ
0.975	perry	péri	pɛɹi	pɛ+ɹi
0.975	peri	péri	pɛɹi	pɛ+ɹi
0.975	peppy	pépie	pɛpi	pɛ+pi
0.975	middy	midi	mɪdi	mɪ+di
0.975	lorry	lorry	lɒɹi	lɒ+ɹi
0.975	lobby	lobby	lɒbi	lɒ+bi
0.975	kris	crisse	kɹɪs	kɹ+ɪs
0.975	kopje	copie	kɒpi	kɒ+pi
0.975	jinn	gin	dʒɪn	dʒ+ɪn
0.975	indie	hindi	ɪndi	ɪn+di
0.975	gyp	jeep	dʒɪp	dʒ+ɪp
0.975	grot	grotte	ɡɹɒt	ɡɹ+ɒt
0.975	grippe	grippe	ɡɹɪp	ɡɹ+ɪp
0.975	grin	green	ɡɹɪn	ɡɹ+ɪn
0.975	grille	grill	ɡɹɪl	ɡɹ+ɪl
0.975	gip	jeep	dʒɪp	dʒ+ɪp
0.975	frock	froc	fɹɒk	fɹ+ɒk
0.975	frizz	frise	fɹɪz	fɹ+ɪz
0.975	frit	frites	fɹɪt	fɹ+ɪt
0.975	flick	flics	flɪk	fl+ɪk
0.975	feller	fêlé	fɛlɐ	fɛ+lɐ
0.975	fellah	fêlé	fɛlɐ	fɛ+lɐ
0.975	fella	fêlé	fɛlɐ	fɛ+lɐ
0.975	ecru	écrou	ɛkɹuː	ɛk+ɹu
0.975	drawl	drôle	dɹɔːl	dɹ+ɔl
0.975	deli	délit	dɛli	dɛ+li
0.975	crosse	cross	kɹɒs	kɹ+ɒs
0.975	crock	croque	kɹɒk	kɹ+ɒk
0.975	crick	crique	kɹɪk	kɹ+ɪk
0.975	couture	couteau	kuːtɔː	ku+tɔ
0.975	copped	copte	kɒpt	kɒ+pt
0.975	commie	commis	kɒmi	kɒ+mi
0.975	colly	colis	kɒli	kɒ+li
0.975	collie	colis	kɒli	kɒ+li
0.975	collar	coller	kɒlɐ	kɒ+lɐ
0.975	claws	clause	klɔːz	kl+ɔz
0.975	clawed	claude	klɔːd	kl+ɔd
0.975	cholla	coller	kɒlɐ	kɒ+lɐ
0.975	bloc	bloc	blɒk	bl+ɒk
0.975	benny	béni	bɛni	bɛ+ni
0.975	bedder	bédé	bɛdɐ	bɛ+dɐ
0.97	wrapped	rapt	ɹæpt	ɹæ+pt
0.97	vita	vider	viːtɐ	vi+tɐ
0.97	verey	verrez	vɛɹi	vɛ+ɹi
0.97	truss	traces	tɹʌs	tɹ+ʌs
0.97	trues	trousse	tɹuːz	tɹ+uz
0.97	trews	trousse	tɹuːz	tɹ+uz
0.97	tread	traite	tɹɛd	tɹ+ɛd
0.97	tram	trame	tɹæm	tɹ+æm
0.97	tourney	tonner	tɔːni	tɔ+ni
0.97	tooter	douter	tuːtɐ	tu+tɐ
0.97	teeter	titi	tiːtɐ	ti+tɐ
0.97	tawny	tonner	tɔːni	tɔ+ni
0.97	tauter	doté	tɔːtɐ	tɔ+tɐ
0.97	tardy	tandis	tɑːdi	tɑ+di
0.97	talky	toquer	tɔːki	tɔ+ki
0.97	talkie	toquer	tɔːki	tɔ+ki
0.97	sylph	self	sɪlf	sɪ+lf
0.97	suitor	soudé	suːtɐ	su+tɐ
0.97	stoup	stups	stuːp	st+up
0.97	stoop	stups	stuːp	st+up
0.97	spat	spath	spæt	sp+æt
0.97	soupy	souper	suːpi	su+pi
0.97	skit	skate	skɪt	sk+ɪt
0.97	silt	celtes	sɪlt	sɪ+lt
0.97	sics	sexe	sɪks	sɪ+ks
0.97	sicks	sexe	sɪks	sɪ+ks
0.97	sicked	secte	sɪkt	sɪ+kt
0.97	sheila	chili	ʃiːlɐ	ʃi+lɐ
0.97	sheeny	chiner	ʃiːni	ʃi+ni
0.97	setter	synthé	sɛtɐ	sɛ+tɐ
0.97	seeder	cité	siːdɐ	si+dɐ
0.97	sealer	scellé	siːlɐ	si+lɐ
0.97	scilla	seller	sɪlɐ	sɪ+lɐ
0.97	saucy	ceci	sɔːsi	sɔ+si
0.97	rutty	rôti	ɹʌti	ɹʌ+ti
0.97	runny	renie	ɹʌni	ɹʌ+ni
0.97	rummy	remis	ɹʌmi	ɹʌ+mi
0.97	ruddy	redis	ɹʌdi	ɹʌ+di
0.97	rudder	rôder	ɹʌdɐ	ɹʌ+dɐ
0.97	rotter	raté	ɹɒtɐ	ɹɒ+tɐ
0.97	ripply	repli	ɹɪpli	ɹɪ+pli
0.97	reedy	rider	ɹiːdi	ɹi+di
0.97	recoup	recoupe	ɹɪkuːp	ɹɪ+kup
0.97	ratter	raté	ɹætɐ	ɹæ+tɐ
0.97	rapt	rapt	ɹæpt	ɹæ+pt
0.97	rapped	rapt	ɹæpt	ɹæ+pt
0.97	ramie	rami	ɹæmi	ɹæ+mi
0.97	rale	réel	ɹeɪl	ɹe+ɪl
0.97	quack	couac	kwæk	kw+æk
0.97	prude	prude	pɹuːd	pɹ+ud
0.97	prev	preuve	pɹɛv	pɹ+ɛv
0.97	plume	plume	pluːm	pl+um
0.97	pluck	plaque	plʌk	pl+ʌk
0.97	pleas	plisse	pliːz	pl+iz
0.97	pita	péter	piːtɐ	pi+tɐ
0.97	peaky	piquer	piːki	pi+ki
0.97	pax	pacs	pæks	pæ+ks
0.97	patty	pâtit	pæti	pæ+ti
0.97	pattie	pâtit	pæti	pæ+ti
0.97	patter	péter	pætɐ	pæ+tɐ
0.97	pasha	péché	pæʃɐ	pæ+ʃɐ
0.97	parry	pari	pæɹi	pæ+ɹi
0.97	pappy	papy	pæpi	pæ+pi
0.97	pally	pâli	pæli	pæ+li
0.97	packs	pacs	pæks	pæ+ks
0.97	noil	noël	nɔɪl	nɔ+ɪl
0.97	moony	muni	muːni	mu+ni
0.97	meaty	midi	miːti	mi+ti
0.97	matter	mater	mætɐ	mæ+tɐ
0.97	massy	messie	mæsi	mæ+si
0.97	masque	masque	mæsk	mæ+sk
0.97	masher	mâcher	mæʃɐ	mæ+ʃɐ
0.97	mammy	mamie	mæmi	mæ+mi
0.97	mallee	mali	mæliː	mæ+li
0.97	madder	médée	mædɐ	mæ+dɐ
0.97	macs	max	mæks	mæ+ks
0.97	macks	max	mæks	mæ+ks
0.97	looter	lutter	luːtɐ	lu+tɐ
0.97	loopy	loupé	luːpi	lu+pi
0.97	looby	lubie	luːbi	lu+bi
0.97	lessee	laisser	lɛsiː	lɛ+si
0.97	leks	lynx	lɛks	lɛ+ks
0.97	latter	latter	lætɐ	læ+tɐ
0.97	lassie	lacis	læsi	læ+si
0.97	laddie	lesdits	lædi	læ+di
0.97	kauri	corée	kɔːɹi	kɔ+ɹi
0.97	kasha	cacher	kæʃɐ	kæ+ʃɐ
0.97	kaki	kaki	kæki	kæ+ki
0.97	kadi	caddie	kædi	kæ+di
0.97	jock	jack	dʒɒk	dʒ+ɒk
0.97	jack	jack	dʒæk	dʒ+æk
0.97	frill	frêle	fɹɪl	fɹ+ɪl
0.97	flute	flûte	fluːt	fl+ut
0.97	floored	flotte	flɔːd	fl+ɔd
0.97	flan	flâne	flæn	fl+æn
0.97	flam	flammes	flæm	fl+æm
0.97	flak	flaque	flæk	fl+æk
0.97	flack	flaque	flæk	fl+æk
0.97	fessed	veste	fɛst	fɛ+st
0.97	feeder	vider	fiːdɐ	fi+dɐ
0.97	faller	voler	fɔːlɐ	fɔ+lɐ
0.97	easel	isole	iːzəl	iz+əl
0.97	drupe	troupes	dɹuːp	dɹ+up
0.97	droop	troupes	dɹuːp	dɹ+up
0.97	dram	drame	dɹæm	dɹ+æm
0.97	dory	doré	dɔːɹi	dɔ+ɹi
0.97	demy	demi	dɛmi	dɛ+mi
0.97	cutter	côté	kʌtɐ	kʌ+tɐ
0.97	cutch	coach	kʌtʃ	kʌ+tʃ
0.97	cupped	capte	kʌpt	kʌ+pt
0.97	cuddy	caddie	kʌdi	kʌ+di
0.97	crus	crous	kɹuːz	kɹ+uz
0.97	cruck	crack	kɹʌk	kɹ+ʌk
0.97	crewed	croûte	kɹuːd	kɹ+ud
0.97	cress	grèce	kɹɛs	kɹ+ɛs
0.97	creel	grill	kɹiːl	kɹ+il
0.97	cred	crête	kɹɛd	kɹ+ɛd
0.97	cram	crame	kɹæm	kɹ+æm
0.97	cotter	côté	kɒtɐ	kɒ+tɐ
0.97	cottar	côté	kɒtɐ	kɒ+tɐ
0.97	cotta	côté	kɒtɐ	kɒ+tɐ
0.97	corrie	carie	kɒɹi	kɒ+ɹi
0.97	combe	commet	kəmɛ	kə+mɛ
0.97	colour	calé	kʌlɐ	kʌ+lɐ
0.97	cocky	kaki	kɒki	kɒ+ki
0.97	cluck	claque	klʌk	kl+ʌk
0.97	clews	cluses	kluːz	kl+uz
0.97	claque	claque	klæk	kl+æk
0.97	clam	clame	klæm	kl+æm
0.97	clack	claque	klæk	kl+æk
0.97	chat	chat	tʃæt	tʃ+æt
0.97	cassia	cacher	kæʃɐ	kæ+ʃɐ
0.97	calla	calé	kælɐ	kæ+lɐ
0.97	cadi	caddie	kædi	kæ+di
0.97	caddy	caddie	kædi	kæ+di
0.97	caddie	caddie	kædi	kæ+di
0.97	butty	bâti	bʌti	bʌ+ti
0.97	butter	beauté	bʌtɐ	bʌ+tɐ
0.97	busk	basque	bʌsk	bʌ+sk
0.97	burry	barrie	bʌɹi	bʌ+ɹi
0.97	budge	badge	bʌdʒ	bʌ+dʒ
0.97	bruise	brousse	bɹuːz	bɹ+uz
0.97	broom	brume	bɹuːm	bɹ+um
0.97	brood	broute	bɹuːd	bɹ+ud
0.97	brock	braque	bɹɒk	bɹ+ɒk
0.97	broch	braque	bɹɒk	bɹ+ɒk
0.97	brews	brousse	bɹuːz	bɹ+uz
0.97	brewed	broute	bɹuːd	bɹ+ud
0.97	breve	prive	bɹiːv	bɹ+iv
0.97	border	body	bɔːdɐ	bɔ+dɐ
0.97	boarder	body	bɔːdɐ	bɔ+dɐ
0.97	blot	blattes	blɒt	bl+ɒt
0.97	beefy	biffer	biːfi	bi+fi
0.97	beanie	béni	biːni	bi+ni
0.97	beaked	picte	biːkt	bi+kt
0.97	bally	poli	bɔːli	bɔ+li
0.97	alter	haleter	ɒltɐ	ɒl+tɐ
0.97	altar	haleter	ɒltɐ	ɒl+tɐ
0.969	tractive	traquent ive	tɹæktɪv	tɹæ+ktɪv
0.969	disprove	dis prouve	dɪspɹuːv	dɪs+pɹuv
0.967	pressing	pressing	pɹɛsɪŋ	pɹɛs+ɪŋ
0.967	pressies	précise	pɹɛsɪz	pɹɛs+ɪz
0.967	presses	précise	pɹɛsɪz	pɹɛs+ɪz
0.967	beetroot	but route	biːtɹuːt	bit+ɹut
0.964	marcel	mas elle	mɑːsɛl	mɑ+sɛl
0.964	artist	atteste	ɑːtɪst	ɑt+ɪst
0.963	wheeler	huilé	wiːlɐ	wi+lɐ
0.963	triply	triplé	tɹɪpli	tɹɪ+pli
0.963	sissy	ceci	sɪsi	sɪ+si
0.963	rickey	requis	ɹɪki	ɹɪ+ki
0.963	restive	rincent ive	ɹɛstɪv	ɹɛs+tɪv
0.963	divvy	devis	dɪvi	dɪ+vi
0.963	cellist	céleste	sɛlɪst	sɛl+ɪst
0.963	betta	bêta	bɛtɐ	bɛ+tɐ
0.96	wrested	rincent aide	ɹɛstɪd	ɹɛst+ɪd
0.96	trestle	trais elle	tɹɛsəl	tɹɛs+əl
0.96	tresses	trais aise	tɹɛsɪz	tɹɛs+ɪz
0.96	tressel	trais elle	tɹɛsəl	tɹɛs+əl
0.96	teston	taies tonnes	tɛstən	tɛst+ən
0.96	testis	taies dix	tɛstiz	tɛst+iz
0.96	testes	taies dix	tɛstiːz	tɛst+iz
0.96	testers	taies thèse	tɛstəz	tɛst+əz
0.96	streaks	strict	stɹiːks	stɹi+ks
0.96	select	sélect	sɪlɛkt	sɪ+lɛkt
0.96	rested	rincent aide	ɹɛstɪd	ɹɛst+ɪd
0.96	reprove	réprouve	ɹɪpɹuːv	ɹɪ+pɹuv
0.96	precess	princesse	pɹɪsɛs	pɹɪ+sɛs
0.96	menaced	main est	mɛnɪst	mɛn+ɪst
0.96	meatball	met bol	miːtbɔːl	mit+bɔl
0.96	lyric	lyrique	lɪɹɪk	lɪ+ɹɪk
0.96	derrick	derrick	dɛɹɪk	dɛ+ɹɪk
0.96	conceit	con site	kənsiːt	kən+sit
0.96	concede	con cid	kənsiːd	kən+sid
0.96	censors	sain seize	sɛnsəz	sɛns+əz
0.96	censored	saines aide	sɛnsəd	sɛns+əd
0.96	censers	sain seize	sɛnsəz	sɛns+əz
0.96	bellies	belize	bɛlɪz	bɛl+ɪz
0.956	tesla	déceler	tɛslɐ	tɛs+lɐ
0.956	terrors	thérèse	tɛɹəz	tɛɹ+əz
0.956	senores	sain ose	sɛnɔːz	sɛn+ɔz
0.956	scrip	scribe	skɹɪp	skɹ+ɪp
0.956	reseal	ries il	ɹɪsiːl	ɹɪs+il
0.956	rennet	rainette	ɹɛnɪt	ɹɛn+ɪt
0.956	readies	redisent	ɹɛdɪz	ɹɛd+ɪz
0.956	privy	privé	pɹɪvi	pɹɪ+vi
0.956	porters	pot aise	pɔːtəz	pɔt+əz
0.956	pennis	pénis	pɛniz	pɛn+iz
0.956	peacock	bicoque	piːkɒk	pik+ɒk
0.956	octave	active	ɒktɪv	ɒk+tɪv
0.956	menace	main hisse	mɛnɪs	mɛn+ɪs
0.956	grist	christ	ɡɹɪst	ɡɹ+ɪst
0.956	ferrule	férule	fɛɹuːl	fɛ+ɹul
0.956	deceive	dis ive	dɪsiːv	dɪs+iv
0.956	decease	dis hisse	dɪsiːs	dɪs+is
0.956	conic	conique	kənɪk	kən+ɪk
0.956	centaur	sain taux	sɛntɔː	sɛn+tɔ
0.956	cecal	séquelles	sɛkəl	sɛk+əl
0.956	beckon	bacon	bɛkən	bɛ+kən
0.956	active	active	æktɪv	æk+tɪv
0.955	tala	daller	tɑːlɐ	tɑ+lɐ
0.955	start	stade	stɑːt	st+ɑt
0.955	recruit	recrute	ɹɪkɹuːt	ɹɪk+ɹut
0.955	parlour	palais	pɑːlɐ	pɑ+lɐ
0.955	parlor	palais	pɑːlɐ	pɑ+lɐ
0.955	palmy	pâmer	pɑːmi	pɑ+mi
0.955	marshy	magie	mɑːʃi	mɑ+ʃi
0.955	lardy	lattis	lɑːdi	lɑ+di
0.955	larder	latter	lɑːdɐ	lɑ+dɐ
0.955	kami	camée	kɑːmi	kɑ+mi
0.955	kali	calé	kɑːli	kɑ+li
0.955	catarrh	quotas	kətɑː	kə+tɑ
0.955	carter	gâté	kɑːtɐ	kɑ+tɐ
0.955	carny	canée	kɑːni	kɑ+ni
0.955	carnie	canée	kɑːni	kɑ+ni
0.955	carney	canée	kɑːni	kɑ+ni
0.955	carder	cadet	kɑːdɐ	kɑ+dɐ
0.955	cadre	cadet	kɑːdɐ	kɑ+dɐ
0.955	arson	assène	ɑːsən	ɑs+ən
0.952	wrestle	recèle	ɹɛsəl	ɹɛs+əl
0.952	trending	train digne	tɹɛndɪŋ	tɹɛ+ndɪŋ
0.952	treater	traité	tɹiːtɐ	tɹi+tɐ
0.952	trashy	trachée	tɹæʃi	tɹæ+ʃi
0.952	strep	strip	stɹɛp	stɹ+ɛp
0.952	stellar	stylé	stɛlɐ	stɛ+lɐ
0.952	stela	stylé	stɛlɐ	stɛ+lɐ
0.952	sext	sixte	sɛkst	sɛ+kst
0.952	sexed	sixte	sɛkst	sɛ+kst
0.952	setters	synthèse	sɛtəz	sɛt+əz
0.952	settees	sottises	sɛtiːz	sɛt+iz
0.952	senors	sain aise	sɛnəz	sɛn+əz
0.952	seeders	scient aise	siːdəz	sid+əz
0.952	seeded	scient aide	siːdɪd	sid+ɪd
0.952	seaport	chipote	siːpɔːt	si+pɔt
0.952	screwed	scrute	skɹuːd	skɹ+ud
0.952	routers	ruent aise	ɹuːtəz	ɹut+əz
0.952	rooters	ruent aise	ɹuːtəz	ɹut+əz
0.952	redly	raies lis	ɹɛdli	ɹɛd+li
0.952	redden	redonne	ɹɛdən	ɹɛd+ən
0.952	rebury	repris	ɹɛbɹi	ɹɛ+bɹi
0.952	reason	résonne	ɹiːzən	ɹiz+ən
