seed	hops	mean_quality	min_quality	min_sound_edge	max_sound_edge	tier	loop
website	5	0.9142	0.781	0.781	1.0	B	en:website ~ fr:site ≈ en:seats ~ en:seat ≈ fr:sites = en:websites
crowd	4	0.9128	0.781	0.781	1.0	B	en:crowd = fr:foule ≈ en:fool ~ en:fools ≈ fr:foules
quotes	4	0.9128	0.781	0.781	1.0	B	en:quotes = fr:cotes ≈ en:court ~ en:courts ≈ fr:quote
this	4	0.9128	0.781	0.781	1.0	B	en:this = fr:cet ≈ en:set ~ en:sets ≈ fr:cette
bit	4	0.9127	0.781	0.781	1.0	B	en:bit = fr:bits ≈ en:beats ~ en:beat ≈ fr:bit
quotes	4	0.9127	0.781	0.781	1.0	B	en:quotes = fr:cotes ≈ en:courts ~ en:court ≈ fr:quote
red	4	0.9127	0.781	0.781	1.0	B	en:red ≈ fr:raid ~ fr:raids ≈ en:reds = fr:rouges
root	4	0.9127	0.781	0.781	1.0	B	en:root ≈ fr:routes ~ fr:route ≈ en:roots = fr:racines
root	4	0.9127	0.781	0.781	1.0	B	en:root ≈ fr:routes ~ fr:route ≈ en:roots = fr:racine
letters	6	0.9112	0.781	0.781	0.976	B	en:letters ≈ fr:laid aise ~ fr:laid in ≈ en:letting ~ en:let ≈ fr:lettres ~ en:letras
letters	5	0.9094	0.781	0.781	0.976	B	en:letters ≈ fr:laid aise ~ fr:laid in ≈ en:letting ~ en:let ≈ fr:lettres
beater	5	0.9082	0.781	0.781	1.0	B	en:beater ~ en:beat ≈ fr:bites ~ fr:bite ≈ en:beats ~ fr:beat
beater	5	0.9082	0.781	0.781	1.0	B	en:beater ~ en:beat ≈ fr:bite ~ fr:bites ≈ en:beats ~ fr:beat
beaters	5	0.9082	0.781	0.781	1.0	B	en:beaters ~ en:beat ≈ fr:bites ~ fr:bite ≈ en:beats ~ fr:beat
beaters	5	0.9082	0.781	0.781	1.0	B	en:beaters ~ en:beat ≈ fr:bite ~ fr:bites ≈ en:beats ~ fr:beat
beating	5	0.9082	0.781	0.781	1.0	B	en:beating ~ en:beat ≈ fr:bites ~ fr:bite ≈ en:beats ~ fr:beat
beating	5	0.9082	0.781	0.781	1.0	B	en:beating ~ en:beat ≈ fr:bite ~ fr:bites ≈ en:beats ~ fr:beat
court arse	5	0.9082	0.781	0.781	1.0	B	en:court arse ~ en:court ≈ fr:cotes ~ fr:cote ≈ en:courts ~ fr:court
court arse	5	0.9082	0.781	0.781	1.0	B	en:court arse ~ en:court ≈ fr:cote ~ fr:cotes ≈ en:courts ~ fr:court
fell	5	0.9082	0.781	0.781	1.0	B	en:fell ~ en:falls ≈ fr:folles ~ fr:folle ≈ en:fall ~ fr:fall
fleet	5	0.9082	0.781	0.781	0.97	B	en:fleet = fr:flotte ≈ en:floored ~ en:floor ≈ fr:flottes ~ en:flota
meetly	5	0.9082	0.781	0.781	1.0	B	en:meetly ~ en:meet ≈ fr:mythe ~ fr:mythes ≈ en:meets ~ fr:rencontrez
rode	5	0.9082	0.781	0.781	1.0	B	en:rode ~ fr:ride ≈ en:read ~ en:reads ≈ fr:rides ~ en:rides
rode	5	0.9082	0.781	0.781	1.0	B	en:rode ~ fr:ride ≈ en:read ~ en:reads ≈ fr:rides ~ en:ride
rooter	5	0.9082	0.781	0.781	1.0	B	en:rooter ~ en:root ≈ fr:routes ~ fr:route ≈ en:roots ~ fr:rooth
rooter	5	0.9082	0.781	0.781	1.0	B	en:rooter ~ en:root ≈ fr:routes ~ fr:route ≈ en:roots ~ en:rooth
rooters	5	0.9082	0.781	0.781	1.0	B	en:rooters ~ en:root ≈ fr:routes ~ fr:route ≈ en:roots ~ fr:rooth
rooters	5	0.9082	0.781	0.781	1.0	B	en:rooters ~ en:root ≈ fr:routes ~ fr:route ≈ en:roots ~ en:rooth
rooting	5	0.9082	0.781	0.781	1.0	B	en:rooting ~ en:root ≈ fr:routes ~ fr:route ≈ en:roots ~ fr:rooth
rooting	5	0.9082	0.781	0.781	1.0	B	en:rooting ~ en:root ≈ fr:routes ~ fr:route ≈ en:roots ~ en:rooth
website	5	0.9082	0.781	0.781	1.0	B	en:website ~ fr:site ≈ en:seats ~ en:seat ≈ fr:sites ~ en:websites
bit	4	0.9052	0.781	0.781	1.0	B	en:bit ~ fr:bits ≈ en:beats ~ en:beat ≈ fr:bit
bite	4	0.9052	0.781	0.781	1.0	B	en:bite ~ fr:bite ≈ en:beats ~ en:beat ≈ fr:bites
bite	4	0.9052	0.781	0.781	1.0	B	en:bite ~ fr:bite ≈ en:beats ~ en:beat ≈ fr:bittent
caller	4	0.9052	0.781	0.781	1.0	B	en:caller ~ en:call ≈ fr:colle ~ fr:collent ≈ en:calls
caller	4	0.9052	0.781	0.781	1.0	B	en:caller ~ en:call ≈ fr:cols ~ fr:colle ≈ en:calls
callers	4	0.9052	0.781	0.781	1.0	B	en:callers ~ en:call ≈ fr:colle ~ fr:collent ≈ en:calls
callers	4	0.9052	0.781	0.781	1.0	B	en:callers ~ en:call ≈ fr:cols ~ fr:colle ≈ en:calls
calling	4	0.9052	0.781	0.781	1.0	B	en:calling ~ en:call ≈ fr:colle ~ fr:collent ≈ en:calls
calling	4	0.9052	0.781	0.781	1.0	B	en:calling ~ en:call ≈ fr:cols ~ fr:colle ≈ en:calls
crowd	4	0.9052	0.781	0.781	1.0	B	en:crowd ~ fr:foule ≈ en:fool ~ en:fools ≈ fr:foules
felt	4	0.9052	0.781	0.781	1.0	B	en:felt ~ en:feel ≈ fr:file ~ fr:files ≈ en:feels
felt	4	0.9052	0.781	0.781	1.0	B	en:felt ~ en:feels ≈ fr:file ~ fr:files ≈ en:feel
meet	4	0.9052	0.781	0.781	1.0	B	en:meet ≈ fr:mythe ~ fr:mythes ≈ en:meets ~ fr:rencontres
meet eek	4	0.9052	0.781	0.781	1.0	B	en:meet eek ~ en:meet ≈ fr:mythe ~ fr:mythes ≈ en:meets
meet eek	4	0.9052	0.781	0.781	1.0	B	en:meet eek ~ en:meets ≈ fr:mythe ~ fr:mythes ≈ en:meet
net	4	0.9052	0.781	0.781	1.0	B	en:net ≈ fr:nets ~ en:nets ≈ fr:net ~ fr:internaute
pooch	4	0.9052	0.781	0.781	1.0	B	en:pooch ~ fr:poules ≈ en:pool ~ en:pools ≈ fr:poule
pooch	4	0.9052	0.781	0.781	1.0	B	en:pooch ~ fr:poules ≈ en:pools ~ en:pool ≈ fr:poule
reader	4	0.9052	0.781	0.781	1.0	B	en:reader ≈ fr:rides ~ fr:ride ≈ en:reads ~ fr:reading
reader	4	0.9052	0.781	0.781	1.0	B	en:reader ≈ fr:rides ~ fr:ride ≈ en:reads ~ en:reading
readied	4	0.9052	0.781	0.781	1.0	B	en:readied ~ en:read ≈ fr:rides ~ fr:ride ≈ en:reads
readied	4	0.9052	0.781	0.781	1.0	B	en:readied ~ en:read ≈ fr:ride ~ fr:rides ≈ en:reads
readies	4	0.9052	0.781	0.781	1.0	B	en:readies ~ en:read ≈ fr:rides ~ fr:ride ≈ en:reads
readies	4	0.9052	0.781	0.781	1.0	B	en:readies ~ en:read ≈ fr:ride ~ fr:rides ≈ en:reads
ride	4	0.9052	0.781	0.781	1.0	B	en:ride ~ fr:ride ≈ en:read ~ en:reads ≈ fr:rides
ride	4	0.9052	0.781	0.781	1.0	B	en:ride ~ fr:rides ≈ en:read ~ en:reads ≈ fr:ride
routeing	4	0.9052	0.781	0.781	1.0	B	en:routeing ~ fr:routes ≈ en:route ~ fr:route ≈ en:routes
routeing	4	0.9052	0.781	0.781	1.0	B	en:routeing ~ en:route ≈ fr:routes ~ en:routes ≈ fr:route
routers	4	0.9052	0.781	0.781	1.0	B	en:routers ~ en:routes ≈ fr:route ~ en:route ≈ fr:routes
ruler	4	0.9052	0.781	0.781	1.0	B	en:ruler ≈ fr:roule ~ fr:roulé ≈ en:rule ~ fr:règle
ruler	4	0.9052	0.781	0.781	1.0	B	en:ruler ≈ fr:roule ~ fr:roulé ≈ en:rule ~ en:regel
scene	4	0.9052	0.781	0.781	1.0	B	en:scene ≈ fr:seines ~ fr:seine ≈ en:scenes ~ fr:scènes
setters	4	0.9052	0.781	0.781	1.0	B	en:setters ~ fr:sets ≈ en:set ~ fr:set ≈ en:sets
setters	4	0.9052	0.781	0.781	1.0	B	en:setters ~ en:sets ≈ fr:set ~ en:set ≈ fr:sets
piqued	5	0.9022	0.781	0.781	0.97	B	en:piqued ~ fr:piquer ≈ en:peaky ~ en:peaks ≈ fr:piques ~ fr:piquet
piqued	5	0.9022	0.781	0.781	0.97	B	en:piqued ~ fr:piquer ≈ en:peaky ~ en:peaks ≈ fr:piques ~ en:piquet
beat	3	0.9003	0.781	0.781	1.0	B	en:beat ≈ fr:bites ~ fr:bite ≈ en:beats
beat	3	0.9003	0.781	0.781	1.0	B	en:beat ≈ fr:bite ~ fr:bites ≈ en:beats
call	3	0.9003	0.781	0.781	1.0	B	en:call ≈ fr:colle ~ fr:collent ≈ en:calls
call	3	0.9003	0.781	0.781	1.0	B	en:call ≈ fr:cols ~ fr:colle ≈ en:calls
court	3	0.9003	0.781	0.781	1.0	B	en:court ≈ fr:cotes ~ fr:cote ≈ en:courts
court	3	0.9003	0.781	0.781	1.0	B	en:court ≈ fr:cote ~ fr:cotes ≈ en:courts
fall	3	0.9003	0.781	0.781	1.0	B	en:fall ≈ fr:folles ~ fr:folle ≈ en:falls
fall	3	0.9003	0.781	0.781	1.0	B	en:fall ≈ fr:folle ~ fr:folles ≈ en:falls
feel	3	0.9003	0.781	0.781	1.0	B	en:feel ≈ fr:file ~ fr:files ≈ en:feels
feeler	3	0.9003	0.781	0.781	1.0	B	en:feeler ≈ fr:filer ~ fr:files ≈ en:feels
fool	3	0.9003	0.781	0.781	1.0	B	en:fool ≈ fr:foules ~ fr:foule ≈ en:fools
fool	3	0.9003	0.781	0.781	1.0	B	en:fool ≈ fr:foule ~ fr:foules ≈ en:fools
meet	3	0.9003	0.781	0.781	1.0	B	en:meet ≈ fr:mythe ~ fr:mythes ≈ en:meets
net	3	0.9003	0.781	0.781	1.0	B	en:net ≈ fr:nets ~ en:nets ≈ fr:net
pool	3	0.9003	0.781	0.781	1.0	B	en:pool ≈ fr:poules ~ fr:poule ≈ en:pools
pool	3	0.9003	0.781	0.781	1.0	B	en:pool ≈ fr:poule ~ fr:poules ≈ en:pools
read	3	0.9003	0.781	0.781	1.0	B	en:read ≈ fr:rides ~ fr:ride ≈ en:reads
read	3	0.9003	0.781	0.781	1.0	B	en:read ≈ fr:ride ~ fr:rides ≈ en:reads
route	3	0.9003	0.781	0.781	1.0	B	en:route ≈ fr:routes ~ en:routes ≈ fr:route
route	3	0.9003	0.781	0.781	1.0	B	en:route ≈ fr:routes ~ fr:route ≈ en:routes
scene	3	0.9003	0.781	0.781	1.0	B	en:scene ≈ fr:seines ~ fr:seine ≈ en:scenes
set	3	0.9003	0.781	0.781	1.0	B	en:set ≈ fr:sets ~ en:sets ≈ fr:set
set	3	0.9003	0.781	0.781	1.0	B	en:set ≈ fr:sets ~ fr:set ≈ en:sets
share	3	0.9003	0.781	0.781	1.0	B	en:share ≈ fr:chères ~ fr:chère ≈ en:shared
share	3	0.9003	0.781	0.781	1.0	B	en:share ≈ fr:chère ~ fr:chères ≈ en:shared
potty	5	0.8994	0.781	0.781	0.956	B	en:potty ~ fr:potes ≈ en:porter ~ en:porters ≈ fr:pot aise ~ en:potts
potty	5	0.8994	0.781	0.781	0.956	B	en:potty ~ fr:potes ≈ en:porter ~ en:porters ≈ fr:pot aise ~ fr:potts
sweating	4	0.8948	0.781	0.781	0.958	B	en:sweating ≈ fr:souhait in ~ fr:souhait ≈ en:sweat ~ fr:sweat
porters	4	0.8942	0.781	0.781	0.956	B	en:porters ≈ fr:pot aise ~ fr:potes ≈ en:porter ~ fr:porter
peaky	3	0.8903	0.781	0.781	0.97	B	en:peaky ≈ fr:piquer ~ fr:pique ≈ en:peaks
predators	6	0.8885	0.781	0.781	0.957	B	en:predators ~ en:predator ≈ fr:prêt tes ~ fr:prêt ≈ en:prep ~ fr:pré ≈ en:prey
predators	6	0.8885	0.781	0.781	0.957	B	en:predators ~ en:predator ≈ fr:prêt tes ~ fr:prêt ≈ en:prep ~ fr:prés ≈ en:prey
sweating	3	0.8863	0.781	0.781	0.958	B	en:sweating ≈ fr:souhait in ~ fr:souhait ≈ en:sweat
senses	6	0.8858	0.781	0.781	0.963	B	en:senses ≈ fr:sain six ~ fr:six ≈ en:scenes ~ fr:scènes ≈ en:sense = fr:sens
porters	3	0.8857	0.781	0.781	0.956	B	en:porters ≈ fr:pot aise ~ fr:potes ≈ en:porter
predator	5	0.8822	0.781	0.781	0.957	B	en:predator ≈ fr:prêt tes ~ fr:prêt ≈ en:prep ~ fr:pré ≈ en:prey
predator	5	0.8822	0.781	0.781	0.957	B	en:predator ≈ fr:prêt tes ~ fr:prêt ≈ en:prep ~ fr:prés ≈ en:prey
senses	6	0.8808	0.781	0.781	0.963	B	en:senses ≈ fr:sain six ~ fr:six ≈ en:scenes ~ fr:scènes ≈ en:sense ~ fr:sens
gray	4	0.8682	0.781	0.781	0.822	B	en:gray = fr:grise ≈ en:agrees ~ en:agree ≈ fr:gris
gray	4	0.8682	0.781	0.781	0.822	B	en:gray = fr:gris ≈ en:agree ~ en:agrees ≈ fr:grise
grey	4	0.8682	0.781	0.781	0.822	B	en:grey = fr:grise ≈ en:agrees ~ en:agree ≈ fr:gris
grey	4	0.8682	0.781	0.781	0.822	B	en:grey = fr:gris ≈ en:agree ~ en:agrees ≈ fr:grise
pile	5	0.8538	0.781	0.781	0.833	B	en:pile ≈ fr:pâle = en:pale ≈ fr:pl ~ en:pl ≈ fr:piles
pile	5	0.8538	0.781	0.781	0.833	B	en:pile ≈ fr:pâle = en:pale ≈ fr:pl ~ en:pl ≈ fr:pile
strictly	5	0.8714	0.78	0.78	0.817	B	en:strictly ~ en:exclusively ≈ fr:exclusives lies ~ en:exclusive ≈ fr:exclusives ~ fr:exclusivement
coup	4	0.9107	0.773	0.773	1.0	B	en:coup ≈ fr:coupent ~ fr:coupant ≈ en:coupon = fr:coupons
coup	4	0.9032	0.773	0.773	1.0	B	en:coup ≈ fr:coupent ~ fr:coupant ≈ en:coupon ~ fr:coupons
sect	6	0.9167	0.77	0.77	0.97	B	en:sect ~ fr:secte ≈ en:sicked ~ en:sicks ≈ fr:sexe = en:sex ≈ fr:sectes
sick	6	0.9167	0.77	0.77	0.97	B	en:sick ~ en:sicked ≈ fr:secte ~ fr:sectes ≈ en:sex = fr:sexe ≈ en:sicks
sicked	5	0.916	0.77	0.77	0.97	B	en:sicked ≈ fr:secte ~ fr:sectes ≈ en:sex = fr:sexe ≈ en:sicks
sicks	5	0.916	0.77	0.77	0.97	B	en:sicks ≈ fr:sexe = en:sex ≈ fr:sectes ~ fr:secte ≈ en:sicked
sect	6	0.9117	0.77	0.77	0.97	B	en:sect ~ fr:secte ≈ en:sicked ~ en:sicks ≈ fr:sexe ~ en:sex ≈ fr:sectes
sick	6	0.9117	0.77	0.77	0.97	B	en:sick ~ en:sicked ≈ fr:secte ~ fr:sectes ≈ en:sex ~ fr:sexe ≈ en:sicks
sicken	6	0.9117	0.77	0.77	0.97	B	en:sicken ~ en:sicked ≈ fr:secte ~ fr:sectes ≈ en:sex ~ fr:sexe ≈ en:sicks
sicken	6	0.9117	0.77	0.77	0.97	B	en:sicken ~ en:sicks ≈ fr:sexe ~ en:sex ≈ fr:sectes ~ fr:secte ≈ en:sicked
sicked	5	0.91	0.77	0.77	0.97	B	en:sicked ≈ fr:secte ~ fr:sectes ≈ en:sex ~ fr:sexe ≈ en:sicks
sicks	5	0.91	0.77	0.77	0.97	B	en:sicks ≈ fr:sexe ~ en:sex ≈ fr:sectes ~ fr:secte ≈ en:sicked
kopje	4	0.9038	0.77	0.77	0.975	B	en:kopje ≈ fr:copie ~ fr:copies ≈ en:copy = fr:exemplaire
bris	5	0.8622	0.77	0.77	0.781	B	en:bris ~ fr:bris ≈ en:breathe ~ en:breath ≈ fr:brèche ~ fr:bryk
prospect	5	0.876	0.768	0.768	0.792	B	en:prospect ~ fr:prospectus ≈ en:prospects = fr:perspectives ≈ en:perspective = fr:perspective
prospect	5	0.87	0.768	0.768	0.792	B	en:prospect ~ fr:prospectus ≈ en:prospects = fr:perspectives ≈ en:perspective ~ fr:perspective
exists	5	0.8992	0.763	0.763	0.943	B	en:exists ~ fr:existence ≈ en:exit arse ~ en:exit ≈ fr:existent = en:exist
exist	4	0.894	0.763	0.763	0.943	B	en:exist = fr:existent ≈ en:exit ~ en:exit arse ≈ fr:existence
exists	5	0.8932	0.763	0.763	0.943	B	en:exists ~ fr:existence ≈ en:exit arse ~ en:exit ≈ fr:existent ~ fr:existe
exist	4	0.8865	0.763	0.763	0.943	B	en:exist ~ fr:existence ≈ en:exit arse ~ en:exit ≈ fr:existent
exit arse	6	0.8855	0.763	0.763	0.943	B	en:exit arse ≈ fr:existence ~ en:exist ≈ fr:existe ~ fr:existent ≈ en:exit ~ en:exiting
exit arse	5	0.8786	0.763	0.763	0.943	B	en:exit arse ≈ fr:existence ~ en:exist ≈ fr:existe ~ fr:existent ≈ en:exit
tests	5	0.8632	0.763	0.763	0.763	B	en:tests ~ fr:tests ≈ en:pest = fr:peste ≈ en:test ~ fr:teste
tests	5	0.8632	0.763	0.763	0.763	B	en:tests ~ fr:tests ≈ en:pest = fr:peste ≈ en:test ~ en:testi
closed	4	0.8473	0.758	0.758	0.791	B	en:closed ~ en:closes ≈ fr:close ~ en:close ≈ fr:closes
closing	4	0.8473	0.758	0.758	0.791	B	en:closing ~ en:closes ≈ fr:close ~ en:close ≈ fr:closes
protecting	6	0.9005	0.752	0.752	0.94	B	en:protecting ~ en:protects ≈ fr:protectrice = en:protector ≈ fr:prêt excès ~ fr:prêt excède ≈ en:protection
step	5	0.8776	0.748	0.748	1.0	B	en:step ≈ fr:steppe = en:steppe ≈ fr:stop ~ en:stop ≈ fr:step
step	5	0.8716	0.748	0.748	1.0	B	en:step ≈ fr:steppe ~ en:steppe ≈ fr:stop ~ en:stop ≈ fr:step
cease	4	0.847	0.748	0.748	0.77	B	en:cease ~ fr:stoppes ≈ en:step = fr:step ≈ en:stop
cease	4	0.8395	0.748	0.748	0.77	B	en:cease ~ fr:stoppes ≈ en:step ~ fr:step ≈ en:stop
expertise	5	0.8536	0.747	0.747	0.761	B	en:expertise ~ fr:expertises ≈ en:expenses ~ en:expense ≈ fr:experts ~ en:expert
expertise	5	0.8536	0.747	0.747	0.761	B	en:expertise ~ fr:expertises ≈ en:expenses ~ en:expense ≈ fr:experts ~ fr:expert
strip	5	0.8662	0.743	0.743	0.798	B	en:strip = fr:strip ≈ en:stream ~ fr:stream ≈ en:stripped ~ en:stripping
strip	5	0.8602	0.743	0.743	0.798	B	en:strip ~ fr:strip ≈ en:stream ~ fr:stream ≈ en:stripped ~ en:stripping
stream	4	0.8528	0.743	0.743	0.798	B	en:stream ~ fr:stream ≈ en:strip = fr:strip ≈ en:streams
stream	4	0.8452	0.743	0.743	0.798	B	en:stream ~ fr:stream ≈ en:strip ~ fr:strip ≈ en:streams
explained	4	0.8438	0.743	0.743	0.792	B	en:explained ~ en:explains ≈ fr:explose ~ fr:explosent ≈ en:explain
explained	4	0.8438	0.743	0.743	0.792	B	en:explained ~ en:explain ≈ fr:explosent ~ fr:explose ≈ en:explains
coaches	4	0.8345	0.743	0.743	0.755	B	en:coaches ~ fr:coach ≈ en:catch ~ fr:catch ≈ en:coach
coaches	4	0.8345	0.743	0.743	0.755	B	en:coaches ~ en:coach ≈ fr:catch ~ en:catch ≈ fr:coach
string	4	0.8473	0.733	0.733	0.786	B	en:string = fr:string ≈ en:stream ~ fr:stream ≈ en:strings
string	4	0.8397	0.733	0.733	0.786	B	en:string ~ fr:string ≈ en:stream ~ fr:stream ≈ en:strings
excluding	5	0.8572	0.731	0.731	0.795	B	en:excluding ~ fr:excluant ≈ en:exclusion ~ fr:exclus ≈ en:exclude ~ fr:exclut
excluding	4	0.8415	0.731	0.731	0.795	B	en:excluding ~ fr:excluant ≈ en:exclusion ~ fr:exclus ≈ en:exclude
cooing	5	0.898	0.73	0.73	1.0	B	en:cooing ~ en:cooed ≈ fr:coude ~ fr:coudes ≈ en:coot ~ fr:cooder
cooing	5	0.898	0.73	0.73	1.0	B	en:cooing ~ en:cooed ≈ fr:coude ~ fr:coudes ≈ en:coot ~ en:cooder
fools	5	0.898	0.73	0.73	1.0	B	en:fools ~ en:fool ≈ fr:full ~ en:full ≈ fr:folles ~ fr:imbéciles
picked	5	0.887	0.73	0.73	0.945	B	en:picked ~ en:pick ≈ fr:piques ~ fr:piquer ≈ en:picky ~ en:pickled
cooed	3	0.8833	0.73	0.73	1.0	B	en:cooed ≈ fr:coude ~ fr:coudes ≈ en:coot
cooed	3	0.8833	0.73	0.73	1.0	B	en:cooed ≈ fr:coudes ~ fr:coude ≈ en:coot
pee	5	0.85	0.73	0.73	0.73	B	en:pee ~ en:pees ≈ fr:pisses ~ fr:pisse ≈ en:piss = fr:pisser
pee	4	0.825	0.73	0.73	0.73	B	en:pee ~ en:pees ≈ fr:pisses ~ en:piss ≈ fr:pisse
piss	4	0.825	0.73	0.73	0.73	B	en:piss ~ fr:pisse ≈ en:pease ~ en:peas ≈ fr:pisses
piss	4	0.825	0.73	0.73	0.73	B	en:piss ~ fr:pisse ≈ en:peas ~ en:pease ≈ fr:pisses
pissed	4	0.825	0.73	0.73	0.73	B	en:pissed ~ fr:pisse ≈ en:pease ~ en:peas ≈ fr:pisses
pissed	4	0.825	0.73	0.73	0.73	B	en:pissed ~ fr:pisse ≈ en:peas ~ en:pease ≈ fr:pisses
predecessor	5	0.8452	0.728	0.728	0.738	B	en:predecessor ~ en:previous ≈ fr:privilèges ~ fr:privilégie ≈ en:previously ~ fr:précédentes
premium	4	0.8433	0.728	0.728	0.805	B	en:premium ≈ fr:primes rimes ~ fr:primes ≈ en:prime ~ fr:prime
premium	3	0.8177	0.728	0.728	0.805	B	en:premium ≈ fr:primes rimes ~ en:prime ≈ fr:primes
scored	4	0.8377	0.726	0.726	0.785	B	en:scored ~ en:score ≈ fr:scores ~ en:scores ≈ fr:score
scored	4	0.8377	0.726	0.726	0.785	B	en:scored ~ en:score ≈ fr:scores ~ fr:score ≈ en:scores
boot	4	0.823	0.726	0.726	0.726	B	en:boot ~ en:bootie ≈ fr:coutils ~ fr:coutil ≈ en:booty
boot	4	0.823	0.726	0.726	0.726	B	en:boot ~ en:bootie ≈ fr:coutil ~ fr:coutils ≈ en:booty
bootee	4	0.823	0.726	0.726	0.726	B	en:bootee ~ en:bootie ≈ fr:coutils ~ fr:coutil ≈ en:booty
bootee	4	0.823	0.726	0.726	0.726	B	en:bootee ~ en:bootie ≈ fr:coutil ~ fr:coutils ≈ en:booty
grip	5	0.8486	0.725	0.725	0.758	B	en:grip ~ fr:grippe ≈ en:grape ~ fr:grappes ≈ en:grasp ~ en:gripping
grip	5	0.8486	0.725	0.725	0.758	B	en:grip ~ fr:grippe ≈ en:grape ~ fr:grappes ≈ en:grasp ~ en:grips
grippe	5	0.8486	0.725	0.725	0.758	B	en:grippe ~ fr:grippe ≈ en:grape ~ fr:grappes ≈ en:grasp ~ en:gripping
grippe	5	0.8486	0.725	0.725	0.758	B	en:grippe ~ fr:grippe ≈ en:grape ~ fr:grappes ≈ en:grasp ~ en:grips
explain	5	0.8608	0.722	0.722	0.792	B	en:explain ~ en:explained ≈ fr:explosent ~ fr:explose ≈ en:explains = fr:explique
explain	5	0.8548	0.722	0.722	0.792	B	en:explain ~ en:explained ≈ fr:explosent ~ fr:explose ≈ en:explains ~ en:explaining
