en	en_ipa	fr	fr_ipa	n_chunks	chunk_recipe	min_fragment_count	avg_fragment_count	match_type	edit_distance	en_zipf	fr_zipf
disciplinary	dɪsɪplɪnəɹi	disciplinaires	disiplinɛʁ	5	dɪs+ɪp+lɪ+nə+ɹi	11	60.8	approx(d=2)	2	3.75	3.25
diplomat	dɪpləmæt	diplomates	diplɔmat	4	dɪ+pl+əm+æt	20	50.8	exact	0	3.69	3.44
dramatic	dɹəmætɪk	dramatiques	dʁamatik	4	dɹ+əm+æt+ɪk	20	31.5	approx(d=2)	2	4.41	3.61
specific	spəsɪfɪk	spécifiques	spesifik	4	sp+əs+ɪf+ɪk	10	43.2	approx(d=1)	1	5.03	4.2
concepts	kɒnsɛpts	concept	kɔ̃sɛpt	4	kɒ+ns+ɛp+ts	8	21.5	approx(d=2)	2	4.26	4.68
protesting	pɹətɛstɪŋ	palestine	palɛstin	4	pɹ+ət+ɛst+ɪŋ	4	77.5	approx(d=2)	2	3.76	4.08
challenges	tʃælɪndʒɪz	challenger	tʃalɛndʒœʁ	4	tʃ+ælɪ+ndʒ+ɪz	3	24.8	approx(d=2)	2	4.49	3.4
challenging	tʃælɪndʒɪŋ	challenger	tʃalɛndʒœʁ	4	tʃ+ælɪ+ndʒ+ɪŋ	3	27.0	approx(d=2)	2	4.27	3.4
flexibility	flɛksɪbɪlɪti	flexibilité	flɛksibilite	4	flɛk+sɪ+bɪl+ɪti	3	7.8	approx(d=1)	1	4.02	3.65
resting	ɹɛstɪŋ	destine	dɛstin	3	ɹɛ+st+ɪŋ	61	201.0	approx(d=1)	1	3.89	3.0
sectors	sɛktəz	synthèse	sɛ̃tɛz	3	sɛ+kt+əz	59	102.0	approx(d=1)	1	4.07	4.18
clicking	klɪkɪŋ	liquide	likid	3	kl+ɪk+ɪŋ	57	62.0	approx(d=2)	2	3.91	4.42
stickers	stɪkəz	scies aise	si ɛz	3	st+ɪk+əz	57	162.7	approx(d=2)	2	3.69	2.76
depend	dɪpɛnd	dizaines	dizɛn	3	dɪ+pɛ+nd	53	64.7	approx(d=2)	2	4.2	4.41
expecting	ɛkspɛktɪŋ	expertises	ɛkspɛʁtiz	3	ɛksp+ɛkt+ɪŋ	53	57.3	approx(d=2)	2	4.42	3.3
intend	ɪntɛnd	haines aide	ɛn ɛd	3	ɪn+tɛ+nd	53	69.7	approx(d=2)	2	4.09	3.2
riding	ɹaɪdɪŋ	badine	badin	3	ɹa+ɪd+ɪŋ	49	63.3	approx(d=2)	2	4.49	2.6
descent	dɪsɛnt	dit est	di ɛst	3	dɪ+sɛ+nt	47	91.3	approx(d=2)	2	3.93	5.97
extent	ɛkstɛnt	externes	ɛkstɛʁn	3	ɛks+tɛ+nt	47	91.3	approx(d=2)	2	4.47	3.89
sprint	spɹɪnt	sprint	spʁint	3	sp+ɹɪ+nt	47	71.0	approx(d=1)	1	3.96	3.74
entity	ɛntɪti	haines tri	ɛntʁi	3	ɛn+tɪ+ti	46	111.3	approx(d=2)	2	4.12	3.13
careers	kəɹiəz	cons aise	kɔ̃ ɛz	3	kə+ɹi+əz	42	115.0	approx(d=2)	2	4.08	4.11
second	sɛkənd	secs ides	sɛk id	3	sɛ+kə+nd	42	81.0	approx(d=2)	2	5.63	2.73
checking	tʃɛkɪŋ	trait in	tʁɛ in	3	tʃ+ɛk+ɪŋ	40	109.3	approx(d=2)	2	4.43	4.2
cracking	kɹækɪŋ	coquine	kɔkin	3	kɹ+æk+ɪŋ	35	57.3	approx(d=2)	2	3.92	3.6
defend	dɪfɛnd	dizaines	dizɛn	3	dɪ+fɛ+nd	35	55.7	approx(d=2)	2	4.47	4.41
reactor	ɹɪæktɐ	dictée	dikte	3	ɹɪ+æk+tɐ	34	48.7	approx(d=2)	2	3.83	3.33
strain	stɹeɪn	ses haines	seɛn	3	st+ɹe+ɪn	34	153.3	approx(d=2)	2	4.15	3.2
raven	ɹeɪvən	ive haines	ivɛn	3	ɹe+ɪv+ən	32	42.7	approx(d=2)	2	3.79	2.95
depressed	dɪpɹɛst	dit est	di ɛst	3	dɪ+pɹɛ+st	31	160.7	approx(d=2)	2	4.14	5.97
strand	stɹænd	stade	stad	3	st+ɹæ+nd	31	152.0	approx(d=2)	2	3.68	4.85
demise	dɪmaɪz	dit aise	di ɛz	3	dɪ+ma+ɪz	29	53.3	approx(d=2)	2	3.66	4.43
index	ɪndɛks	cedex	sedɛks	3	ɪn+dɛ+ks	29	91.3	approx(d=2)	2	4.57	3.19
miners	maɪnəz	mais aise	mɛ ɛz	3	ma+ɪn+əz	29	47.3	approx(d=2)	2	3.93	4.44
minors	maɪnəz	mais aise	mɛ ɛz	3	ma+ɪn+əz	29	47.3	approx(d=2)	2	3.69	4.44
dressing	dɹɛsɪŋ	destine	dɛstin	3	dɹ+ɛs+ɪŋ	28	96.0	approx(d=2)	2	4.17	3.0
drinks	dɹɪŋks	jeans	dʒins	3	dɹ+ɪŋ+ks	28	93.3	approx(d=2)	2	4.43	3.7
driven	dɹɪvən	dizaines	dizɛn	3	dɹ+ɪv+ən	28	40.7	approx(d=2)	2	4.54	4.41
liking	laɪkɪŋ	liquide	likid	3	la+ɪk+ɪŋ	28	48.7	approx(d=2)	2	3.99	4.42
lining	laɪnɪŋ	latine	latin	3	la+ɪn+ɪŋ	28	47.7	approx(d=2)	2	3.88	4.15
premise	pɹɛmɪs	prémices	pʁemis	3	pɹ+ɛm+ɪs	28	72.0	approx(d=2)	2	3.82	3.2
blessing	blɛsɪŋ	blessés	blɛse	3	bl+ɛs+ɪŋ	27	95.7	approx(d=2)	2	4.06	4.39
poison	pɔɪzən	paient haine	pɛ ɛn	3	pɔ+ɪz+ən	27	47.0	approx(d=2)	2	4.08	3.74
stepping	stɛpɪŋ	sait in	sɛ in	3	st+ɛp+ɪŋ	21	151.3	approx(d=2)	2	3.98	4.98
cement	sɪmɛnt	semaine	smɛn	3	sɪ+mɛ+nt	20	46.3	approx(d=2)	2	3.94	5.42
consist	kənsɪst	consistent	kɔ̃sist	3	kən+sɪ+st	20	137.7	approx(d=1)	1	3.94	3.38
lyrics	lɪɹɪks	lyrique	liʁik	3	lɪ+ɹɪ+ks	20	96.0	approx(d=2)	2	4.35	3.62
mentioned	mɛnʃənd	mènent aide	mɛn ɛd	3	mɛn+ʃə+nd	20	31.0	approx(d=2)	2	4.83	3.85
message	mɛsɪdʒ	mets sis	mɛsi	3	mɛ+sɪ+dʒ	20	44.0	approx(d=2)	2	5.0	3.34
script	skɹɪpt	script	skʁipt	3	sk+ɹɪ+pt	20	55.7	approx(d=1)	1	4.36	3.79
static	stætɪk	statique	statik	3	st+æt+ɪk	20	149.7	exact	0	4.05	3.52
quickly	kwɪkli	click lies	klikli	3	kw+ɪk+li	19	81.0	approx(d=1)	1	5.0	2.91
biting	baɪtɪŋ	latine	latin	3	ba+ɪt+ɪŋ	18	33.7	approx(d=2)	2	3.77	4.15
bracket	bɹækɪt	bas quitte	ba kit	3	bɹ+æk+ɪt	18	33.0	approx(d=2)	2	3.84	4.6
cricket	kɹɪkɪt	kiki	kiki	3	kɹ+ɪk+ɪt	18	50.3	approx(d=2)	2	4.39	3.34
critic	kɹɪtɪk	critique	kʁitik	3	kɹ+ɪt+ɪk	18	50.3	approx(d=1)	1	3.95	4.95
delight	dɪlaɪt	dit acte	di akt	3	dɪ+la+ɪt	18	41.7	approx(d=2)	2	3.97	4.76
jacket	dʒækɪt	jack	dʒak	3	dʒ+æk+ɪt	18	31.0	approx(d=2)	2	4.32	4.46
lighting	laɪtɪŋ	latine	latin	3	la+ɪt+ɪŋ	18	35.7	approx(d=1)	1	4.29	4.15
lightly	laɪtli	laïques lies	laikli	3	la+ɪt+li	18	71.0	approx(d=1)	1	3.96	2.92
million	mɪliən	vilaine	vilɛn	3	mɪ+li+ən	18	82.3	approx(d=2)	2	5.33	3.78
actress	æktɹəs	actes est	akt ɛst	3	æk+tɹ+əs	17	78.3	approx(d=2)	2	4.45	4.73
genus	dʒɛnəs	jeans	dʒins	3	dʒ+ɛn+əs	17	80.3	approx(d=2)	2	3.73	3.7
jealous	dʒɛləs	aile ès	ɛlɛs	3	dʒ+ɛl+əs	17	45.3	approx(d=2)	2	4.24	3.39
reckless	ɹɛkləs	ex ès	ɛksɛs	3	ɹɛ+kl+əs	17	85.0	approx(d=2)	2	3.82	3.45
chased	tʃeɪst	texte	tekst	3	tʃ+eɪ+st	16	142.7	approx(d=2)	2	3.74	5.08
comics	kɒmɪks	commis	kɔmi	3	kɒ+mɪ+ks	16	75.0	approx(d=2)	2	4.17	4.5
comment	kɒmɛnt	comète	kɔmɛt	3	kɒ+mɛ+nt	16	45.0	approx(d=1)	1	4.88	3.61
flowing	fləʊɪŋ	flot in	flo in	3	fl+əʊ+ɪŋ	16	40.0	approx(d=2)	2	4.02	3.69
necklace	nɛkləs	noblesse	nɔblɛs	3	nɛ+kl+əs	16	33.7	approx(d=2)	2	3.85	4.14
placed	pleɪst	elles est	ɛl ɛst	3	pl+eɪ+st	16	157.0	approx(d=2)	2	4.85	5.65
players	pleɪəz	plaisent	plɛz	3	pl+eɪ+əz	16	52.7	approx(d=2)	2	5.3	3.58
playing	pleɪɪŋ	plaisirs	pleziʁ	3	pl+eɪ+ɪŋ	16	53.3	approx(d=2)	2	5.37	3.85
stakes	steɪks	sexe	sɛks	3	st+eɪ+ks	16	193.0	approx(d=2)	2	4.02	4.75
staying	steɪɪŋ	stériles	steʁil	3	st+eɪ+ɪŋ	16	149.7	approx(d=2)	2	4.55	3.3
blind	blaɪnd	line	laɪn	3	bl+aɪ+nd	15	31.7	approx(d=2)	2	4.52	3.88
drilling	dɹɪlɪŋ	divine	divin	3	dɹ+ɪl+ɪŋ	15	34.7	approx(d=2)	2	3.93	4.04
flyers	flaɪəz	las aise	la ɛz	3	fl+aɪ+əz	15	39.0	approx(d=2)	2	3.69	4.02
flying	flaɪɪŋ	latine	latin	3	fl+aɪ+ɪŋ	15	39.7	approx(d=2)	2	4.71	4.15
granite	ɡɹænɪt	granit	ɡʁanit	3	ɡɹ+æn+ɪt	15	34.0	approx(d=2)	2	3.86	3.53
parade	pəɹeɪd	peinent aide	pɛn ɛd	3	pə+ɹe+ɪd	15	43.0	approx(d=2)	2	4.16	3.06
percent	pəsɛnt	paix est	pɛ ɛst	3	pə+sɛ+nt	15	70.0	approx(d=2)	2	5.04	4.97
polite	pəlaɪt	plate	plat	3	pə+la+ɪt	15	20.3	approx(d=2)	2	3.92	4.31
lottery	lɒtəɹi	latex	latɛks	3	lɒ+tə+ɹi	14	90.7	approx(d=2)	2	4.0	3.33
sentence	sɛntəns	certaines	sɛʁtɛn	3	sɛn+tə+ns	14	27.3	approx(d=2)	2	4.58	5.23
delays	dɪleɪz	dit aise	di ɛz	3	dɪ+le+ɪz	13	48.0	approx(d=2)	2	3.98	4.43
distance	dɪstəns	distance	distɑ̃s	3	dɪs+tə+ns	13	22.7	approx(d=2)	2	4.85	4.74
distant	dɪstənt	distingue	distɛ̃ɡ	3	dɪs+tə+nt	13	24.7	approx(d=2)	2	4.19	4.2
ladies	leɪdɪz	laid aise	lɛ ɛz	3	le+ɪd+ɪz	13	48.3	approx(d=2)	2	4.64	3.56
lately	leɪtli	lies lie	lili	3	le+ɪt+li	13	66.0	approx(d=2)	2	4.41	3.11
online	ɒnlaɪn	na haines	naɛn	3	ɒn+la+ɪn	13	31.7	approx(d=2)	2	5.19	3.15
relate	ɹɪleɪt	milite	milit	3	ɹɪ+le+ɪt	13	36.0	approx(d=2)	2	4.24	3.55
spider	spaɪdɐ	spider	spide	3	sp+aɪ+dɐ	13	39.0	approx(d=2)	2	4.25	3.64
blocking	blɒkɪŋ	bras in	bʁa in	3	bl+ɒk+ɪŋ	12	33.3	approx(d=2)	2	4.12	4.81
pressures	pɹɛʃəz	prêt aise	pʁɛ ɛz	3	pɹ+ɛʃ+əz	12	70.7	approx(d=2)	2	3.91	4.33
relax	ɹɪlæks	relaxe	ʁəlaks	3	ɹɪ+læ+ks	12	93.3	approx(d=2)	2	4.29	3.23
special	spɛʃəl	sait elle	sɛ ɛl	3	sp+ɛʃ+əl	12	52.7	approx(d=2)	2	5.34	5.29
spotted	spɒtɪd	spots aide	spɔt ɛd	3	sp+ɒt+ɪd	12	60.3	approx(d=2)	2	4.19	3.36
copying	kɒpɪɪŋ	copie	kɔpi	3	kɒ+pɪ+ɪŋ	11	29.3	approx(d=2)	2	3.68	4.38
crosses	kɹɒsɪz	diocèses	djɔsɛz	3	kɹ+ɒs+ɪz	11	46.3	approx(d=2)	2	3.86	3.25
current	kʌɹənt	cassette	kasɛt	3	kʌ+ɹə+nt	11	32.7	approx(d=2)	2	5.27	3.53
faded	feɪdɪd	fait aide	fɛ ɛd	3	fe+ɪd+ɪd	11	57.0	approx(d=2)	2	3.73	5.28
fatal	feɪtəl	fidèles	fidɛl	3	fe+ɪt+əl	11	28.7	approx(d=2)	2	4.1	4.25
gently	dʒɛntli	dettes lies	dɛtli	3	dʒ+ɛnt+li	11	72.7	approx(d=2)	2	4.08	3.13
primitive	pɹɪmɪtɪv	primitive	pʁimitiv	3	pɹɪ+mɪ+tɪv	11	13.7	approx(d=1)	1	3.8	3.49
selecting	sɪlɛktɪŋ	sélective	selɛktiv	3	sɪ+lɛkt+ɪŋ	11	30.7	approx(d=2)	2	3.81	3.39
camping	kæmpɪŋ	cassent in	kas in	3	kæ+mp+ɪŋ	10	29.0	approx(d=2)	2	4.0	3.43
carrying	kæɹɪɪŋ	cassent in	kas in	3	kæ+ɹɪ+ɪŋ	10	49.3	approx(d=2)	2	4.61	3.43
catches	kætʃɪz	quatorze	katɔʁz	3	kæ+tʃ+ɪz	10	34.0	approx(d=2)	2	3.93	4.0
catching	kætʃɪŋ	machine	maʃin	3	kæ+tʃ+ɪŋ	10	37.0	approx(d=2)	2	4.2	4.72
comedy	kɒmədi	commis	kɔmi	3	kɒ+mə+di	10	30.3	approx(d=2)	2	4.51	4.5
eleven	ɪlɛvən	laisses haines	lɛsɛn	3	ɪl+ɛv+ən	10	29.0	approx(d=2)	2	4.12	3.09
examine	ɛɡzæmɪn	examine	ɛɡzamin	3	ɛɡz+æm+ɪn	10	27.7	approx(d=1)	1	4.18	3.58
lounge	laʊndʒ	round	ɹaʊnd	3	la+ʊn+dʒ	10	26.0	approx(d=2)	2	3.92	3.68
militia	məlɪʃɐ	met chez	mɛ ʃe	3	mə+lɪ+ʃɐ	10	17.7	approx(d=2)	2	3.88	5.04
child	tʃaɪld	tchad	tʃad	3	tʃ+aɪ+ld	9	21.3	approx(d=2)	2	5.3	3.69
colony	kɒləni	colonies	kɔlɔni	3	kɒ+lə+ni	9	26.0	approx(d=1)	1	4.12	4.1
dated	deɪtɪd	délit aide	deli ɛd	3	de+ɪt+ɪd	9	35.7	approx(d=2)	2	4.29	4.14
dating	deɪtɪŋ	divine	divin	3	de+ɪt+ɪŋ	9	29.3	approx(d=2)	2	4.7	4.04
diving	daɪvɪŋ	divine	divin	3	da+ɪv+ɪŋ	9	34.0	approx(d=1)	1	4.02	4.04
felony	fɛləni	fait lady	fɛ lɛdi	3	fɛ+lə+ni	9	32.3	approx(d=2)	2	3.77	4.11
forest	fɒɹɪst	fascistes	faʃist	3	fɒ+ɹɪ+st	9	152.7	approx(d=2)	2	4.7	3.45
painter	peɪntɐ	prêt tes	pʁɛ te	3	pe+ɪn+tɐ	9	32.3	approx(d=2)	2	3.93	4.86
papers	peɪpəz	paies pèsent	pɛpɛz	3	pe+ɪp+əz	9	28.0	approx(d=1)	1	4.61	3.12
renowned	ɹɪnaʊnd	round	ɹaʊnd	3	ɹɪn+aʊ+nd	9	23.7	approx(d=2)	2	3.96	3.68
chapter	tʃæptɐ	tâter	tate	3	tʃ+æp+tɐ	8	27.3	approx(d=2)	2	4.65	2.9
cocktail	kɒkteɪl	cocktails	kɔktɛl	3	kɒ+kt+eɪl	8	41.0	approx(d=1)	1	3.89	3.6
coding	kəʊdɪŋ	colline	kɔlin	3	kə+ʊd+ɪŋ	8	37.0	approx(d=2)	2	3.81	4.03
define	dɪfaɪn	dizaines	dizɛn	3	dɪ+fa+ɪn	8	47.0	approx(d=2)	2	4.31	4.41
denies	dɪnaɪz	dit aise	di ɛz	3	dɪ+na+ɪz	8	46.3	approx(d=2)	2	3.73	4.43
effects	ɪfɛkts	affecte	afɛkt	3	ɪf+ɛk+ts	8	81.7	approx(d=2)	2	4.89	3.9
embassy	ɛmbəsi	aiment ès	ɛmɛs	3	ɛm+bə+si	8	57.7	approx(d=2)	2	4.13	3.43
events	ɪvɛnts	ive haines	ivɛn	3	ɪv+ɛn+ts	8	74.7	approx(d=2)	2	5.08	2.95
existing	ɛɡzɪstɪŋ	existe	ɛɡzist	3	ɛɡzɪ+st+ɪŋ	8	147.0	approx(d=2)	2	4.75	5.17
expects	ɛkspɛkts	experte	ɛkspɛʁt	3	ɛksp+ɛk+ts	8	96.0	approx(d=2)	2	3.89	3.46
final	faɪnəl	panel	panɛl	3	fa+ɪn+əl	8	39.7	approx(d=2)	2	5.28	3.53
finally	faɪnəli	freiner lies	fʁɛneli	3	fa+ɪn+əli	8	23.3	approx(d=2)	2	5.17	3.02
fiscal	fɪskəl	fiscales	fiskal	3	fɪ+sk+əl	8	45.0	approx(d=1)	1	4.26	3.91
followed	fɒləʊd	phoques aident	fɔkɛd	3	fɒ+lə+ʊd	8	8.7	approx(d=2)	2	5.05	3.1
founder	faʊndɐ	round	ɹaʊnd	3	fa+ʊn+dɐ	8	10.3	approx(d=2)	2	4.46	3.68
