en_phrase	fr_phrase	combo	coverage	fluency
my eyes	malaise	0.644	0.83	0.327
an old	en horde	0.511	0.83	0.420
captain ahab	campent énéide	0.577	0.82	0.061
seem to	signent ou	0.755	1.00	0.313
very much	verrouillage	0.573	0.88	0.145
his wife	quais watts	0.573	0.86	0.193
of any	assaini	0.696	1.00	0.000
the line	relate	0.559	0.83	0.476
as in	assène	0.555	1.00	0.060
were to	vont ou	0.645	1.00	0.365
it all	idole	0.645	1.00	0.170
an hour	anar	0.527	1.00	0.000
were not	vain hâte	0.553	1.00	0.301
by her	baquet	0.622	0.80	0.062
the country	chacun tri	0.630	1.00	0.328
is this	aides ès	0.512	1.00	0.260
heard of	est ève	0.540	0.80	0.405
me as	moïse	0.611	1.00	0.170
on board	on borde	0.646	1.00	0.485
of one	avoine	0.643	1.00	0.170
the greatest	congressistes	0.536	0.90	0.001
thought of	saut ève	0.535	1.00	0.232
the window	david au	0.468	0.88	0.391
the name	denim	0.618	0.83	0.034
the cabin	jacobine	0.496	1.00	0.000
no means	nominer	0.702	0.86	0.000
but this	bêtes ès	0.601	1.00	0.229
know what	navette	0.595	0.83	0.271
to hear	tenir	0.686	1.00	0.270
you were	yoyo	0.481	1.00	0.076
was only	les on lie	0.595	0.88	0.628
what do	watt ou	0.632	1.00	0.282
me but	minette	0.681	1.00	0.089
the side	façade	0.577	0.83	0.338
whale and	lézarde	0.471	0.86	0.000
man and	main hard	0.597	1.00	0.425
who is	cuisent	0.528	1.00	0.000
said that	sait date	0.747	1.00	0.321
an instant	in stand	0.579	0.78	0.676
but his	baptise	0.626	0.83	0.080
the family	d en lie	0.524	0.88	0.681
of you	avion	0.526	1.00	0.497
the table	dont épaule	0.558	0.88	0.389
along the	alun de	0.522	1.00	0.409
and had	en zad	0.531	0.83	0.374
the one	devine	0.516	1.00	0.263
it for	est fort	0.727	1.00	0.798
you had	yourte	0.581	0.80	0.000
room and	roumaine	0.680	0.83	0.202
is an	usine	0.526	1.00	0.443
you think	ionique	0.503	0.83	0.087
nothing but	matin battent	0.497	1.00	0.234
no longer	neuronaux	0.480	0.86	0.000
mrs gardiner	miss garent aine	0.541	0.91	0.046
account of	incarnent ève	0.615	1.00	0.122
man of	main ève	0.643	1.00	0.308
for an	freine	0.785	1.00	0.175
way to	veut ou	0.642	0.80	0.397
in any	un henni	0.749	1.00	0.294
with which	ouais ouest	0.486	1.00	0.306
and after	en aphtes	0.612	0.83	0.285
it the	est de	0.524	1.00	0.817
about it	about êtes	0.654	0.86	0.553
to tell	tant elle	0.792	1.00	0.488
it that	êtes êtes	0.531	1.00	0.413
to us	traces	0.618	1.00	0.437
may have	missive	0.596	0.83	0.099
tell you	ailier	0.600	0.80	0.242
by some	bas âme	0.707	0.83	0.322
back to	piquent ou	0.714	1.00	0.285
and mrs	en mais aise	0.511	0.88	0.492
what was	vaudoise	0.530	1.00	0.047
to look	talc	0.632	0.80	0.055
that when	châtelaine	0.587	1.00	0.022
it it	irrite	0.575	1.00	0.137
the stranger	des train d	0.462	0.90	0.563
had never	un ève	0.690	0.83	0.429
go to	gadoue	0.637	0.80	0.000
but what	but watts	0.681	1.00	0.508
the ground	dégradé	0.519	0.88	0.237
it seems	est cime	0.592	0.83	0.355
but not	but nattes	0.670	1.00	0.444
with them	ouais gemmes	0.647	1.00	0.097
to mr	tapette	0.567	0.83	0.135
so many	son henni	0.753	0.86	0.285
found that	fan date	0.698	0.88	0.306
spite of	sportive	0.614	1.00	0.348
kind of	cannes ève	0.668	0.86	0.193
all my	allemagne	0.571	1.00	0.333
have seen	aux fine	0.589	0.83	0.516
the body	rebâti	0.578	1.00	0.000
any of	un ive	0.573	0.80	0.416
to any	tournis	0.675	1.00	0.053
we must	limite	0.589	0.83	0.497
the latter	relire	0.583	1.00	0.273
the place	replace	0.631	0.86	0.316
is all	isole	0.787	1.00	0.160
so far	saut are	0.700	0.83	0.557
far as	foreuse	0.613	1.00	0.000
upon me	pan mis	0.634	0.83	0.335
knew that	nous êtes	0.702	1.00	0.508
seems to	cimes ou	0.856	0.83	0.256
she has	chieuse	0.626	0.80	0.009
the letter	blair	0.691	0.80	0.233
her husband	hais benêt	0.496	0.78	0.102
to one	talonne	0.600	1.00	0.000
from that	frein date	0.643	1.00	0.299
you that	yeux êtes	0.583	1.00	0.409
to which	taloche	0.560	0.83	0.000
in our	un aï	0.514	1.00	0.324
hand and	en tilde	0.513	0.86	0.285
and every	en rêverie	0.732	1.00	0.366
the light	relate	0.671	0.83	0.476
after all	et folle	0.593	0.83	0.441
she did	chez ides	0.704	1.00	0.237
ought to	ont tout	0.678	1.00	0.767
that all	désole	0.595	1.00	0.198
by this	bas ès	0.695	0.83	0.227
see him	siam	0.602	0.80	0.135
were in	lorraine	0.528	1.00	0.355
were all	vérole	0.706	1.00	0.030
of me	admis	0.618	1.00	0.371
from him	fredonne	0.531	0.86	0.000
down in	don n	0.619	0.83	0.590
whale is	valises	0.523	0.83	0.258
if she	est chie	0.637	1.00	0.408
is so	s au	0.530	0.80	0.702
not in	matines	0.538	1.00	0.000
just as	des thèse	0.554	0.86	0.518
your own	ronronne	0.501	0.83	0.020
upon it	pan êtes	0.540	0.83	0.344
few minutes	poumon hisse	0.542	0.78	0.147
and from	en frime	0.588	0.86	0.324
them in	démène	0.538	1.00	0.022
out to	hantent ou	0.750	0.80	0.255
at my	et ma	0.543	0.80	0.830
there and	terrine	0.496	0.83	0.045
it so	est saut	0.543	0.80	0.479
mast head	mes cède	0.673	0.86	0.341
was an	oies âne	0.643	1.00	0.179
to elizabeth	tels abaisse	0.497	0.89	0.275
entered the	n te	0.748	0.83	0.464
you do	doudou	0.763	1.00	0.164
only to	on lient ou	0.777	0.86	0.473
my life	malaxe	0.627	0.86	0.000
then the	sain de	0.531	1.00	0.564
as possible	aux pas belle	0.481	1.00	0.507
at home	et tome	0.549	0.83	0.767
what you	vaudou	0.514	0.80	0.129
and down	ânes dan	0.689	0.86	0.227
over his	aux caisse	0.464	0.83	0.440
into his	un treize	0.499	0.86	0.490
side and	sardines	0.559	0.86	0.152
and even	en divine	0.664	1.00	0.509
not at	natif	0.529	1.00	0.260
be sure	bichonne	0.690	1.00	0.000
on that	hommes hâte	0.575	1.00	0.295
that mr	d piste	0.551	1.00	0.568
as his	assises	0.545	0.80	0.319
saw him	poème	0.513	0.80	0.346
across the	écrans de	0.567	1.00	0.565
me for	met or	0.703	1.00	0.657
but at	battante	0.625	1.00	0.120
such as	saut chaise	0.606	1.00	0.337
the lady	gelées et	0.584	0.86	0.434
we may	limer	0.657	0.80	0.000
it might	est mate	0.636	0.83	0.506
for he	forcé	0.702	1.00	0.380
to our	trahi	0.488	1.00	0.269
with some	ouais sam	0.580	1.00	0.228
in order	un horde	0.749	1.00	0.430
in these	un disent	0.634	1.00	0.445
be of	brave	0.618	1.00	0.473
off the	offrait	0.611	1.00	0.235
but one	bédouine	0.603	1.00	0.000
the crew	écrou	0.684	0.80	0.093
his friend	quais freine	0.607	0.88	0.179
what she	litchi	0.706	1.00	0.000
but with	baptise	0.511	0.83	0.080
him for	un fort	0.695	0.83	0.767
is as	hideuse	0.528	1.00	0.047
the least	soliste	0.736	1.00	0.112
to whom	terme	0.592	0.80	0.566
sir william	sahélienne	0.541	0.88	0.000
said elizabeth	sait laids obèse	0.564	1.00	0.149
think it	sain quitte	0.526	1.00	0.353
you not	ion hâte	0.640	1.00	0.156
shall not	charmante	0.559	1.00	0.233
as this	agisse	0.501	0.80	0.304
time and	taïwan	0.523	0.86	0.198
in every	rêverie	0.746	0.83	0.093
it he	est chie	0.522	1.00	0.408
been the	bain de	0.646	1.00	0.615
on to	on tout	0.722	1.00	0.720
then he	génie	0.545	0.80	0.233
in front	un fret	0.576	0.86	0.445
at times	et table	0.484	0.86	0.670
of man	haussmann	0.518	1.00	0.108
at any	ironie	0.607	1.00	0.309
that one	dédouane	0.522	1.00	0.000
and mr	en piste	0.573	0.86	0.544
can you	caillou	0.706	0.80	0.170
now the	nageait	0.637	0.80	0.233
obliged to	obligent doux	0.592	0.80	0.175
cannot be	khan habit	0.675	0.86	0.312
far from	fard ram	0.581	1.00	0.140
way of	arrive	0.467	0.80	0.459
was still	oies style	0.653	1.00	0.294
not yet	assiette	0.660	0.83	0.332
the scene	dessine	0.714	1.00	0.292
which it	laid gîte	0.522	1.00	0.315
so as	saura	0.583	0.80	0.170
was it	oies êtes	0.643	1.00	0.269
course of	coursive	0.675	1.00	0.000
beneath the	but de	0.552	0.83	0.767
no no	non hais	0.554	0.83	0.320
like to	lâchent ou	0.742	0.83	0.298
but now	but na	0.683	0.83	0.492
but my	but ma	0.683	0.83	0.699
where he	vernis	0.594	1.00	0.281
to what	pelotes	0.522	1.00	0.000
and said	en cède	0.706	0.83	0.464
very well	verbal	0.658	0.86	0.170
in vain	un veine	0.557	0.83	0.467
be seen	piscine	0.821	1.00	0.403
as that	âges hâte	0.500	1.00	0.199
within the	vilain de	0.494	1.00	0.547
to an	tienne	0.611	1.00	0.334
what it	ouest	0.617	0.80	0.526
front of	freinent ève	0.729	1.00	0.083
now that	navette	0.665	0.83	0.271
heard the	ont de	0.528	0.80	0.647
the devil	laid eiffel	0.574	1.00	0.359
for this	forte	0.670	0.83	0.516
has not	n hâte	0.522	0.83	0.382
been so	ben saut	0.719	0.83	0.217
himself to	un scellent tout	0.668	0.89	0.375
to morrow	ton haro	0.603	0.86	0.161
he seemed	piscine	0.548	0.83	0.403
order to	hors doux	0.830	1.00	0.248
used to	yeux tout	0.652	0.83	0.494
it be	est pi	0.539	1.00	0.459
this time	dissent âme	0.672	0.86	0.241
all their	hors air	0.679	1.00	0.444
could see	con si	0.737	1.00	0.515
went to	ouest ou	0.742	1.00	0.480
the bottom	gendarmes	0.466	0.86	0.479
in those	haines oses	0.541	0.83	0.138
the main	semaines	0.608	0.83	0.270
the mast	chimiste	0.563	1.00	0.200
the others	dièse	0.464	0.80	0.097
more of	moroses	0.708	1.00	0.000
for one	foraine	0.606	0.83	0.131
been in	bain n	0.676	1.00	0.514
what the	watts est	0.536	1.00	0.406
told me	tôles mis	0.754	0.86	0.219
with one	idoine	0.511	0.83	0.011
in general	n jeun râle	0.611	1.00	0.279
are all	idole	0.606	1.00	0.170
the business	zombies noce	0.488	1.00	0.162
at present	et près êtes	0.660	0.89	0.467
with your	lisière	0.514	1.00	0.160
the sight	ressentent	0.576	0.83	0.196
before he	euphorie	0.651	0.83	0.166
appeared to	perdent ou	0.725	0.86	0.387
still more	stellaire	0.605	0.86	0.137
and your	en tiers	0.542	1.00	0.404
by my	bâillement	0.616	0.83	0.000
the truth	laid route	0.502	1.00	0.425
when we	un ouïes	0.716	0.80	0.310
less than	laisses aine	0.756	1.00	0.149
was of	oies ève	0.640	1.00	0.141
have done	caves âne	0.502	1.00	0.281
the point	reporte	0.611	0.86	0.135
the town	dont âne	0.606	0.83	0.345
one side	vain sarde	0.578	1.00	0.247
down and	don halte	0.492	0.86	0.386
the men	semaines	0.798	1.00	0.270
sea and	suède	0.583	0.80	0.170
much more	mot spores	0.691	1.00	0.196
those who	lors ou	0.493	0.83	0.540
and no	ânes nos	0.534	0.83	0.266
as an	aux âne	0.540	1.00	0.364
de bourgh	debout	0.640	0.80	0.170
years ago	rires ego	0.581	0.88	0.260
in love	un lave	0.555	1.00	0.414
rest of	rester	0.727	0.83	0.296
all of	hollande	0.596	1.00	0.296
will you	loulou	0.499	0.80	0.160
to leave	olive	0.715	0.80	0.316
unable to	on épaulent ou	0.666	0.89	0.387
be very	bis errer	0.670	1.00	0.106
at it	hérite	0.573	1.00	0.164
she saw	chies au	0.673	1.00	0.279
but no	but nos	0.683	0.83	0.633
to keep	équipe	0.715	0.80	0.627
on one	on vannes	0.559	1.00	0.548
so long	soleil	0.582	0.83	0.270
and have	en bave	0.526	0.83	0.403
you could	youpi	0.561	0.80	0.139
life and	larsen	0.541	0.86	0.085
out in	athènes	0.667	0.80	0.311
is but	esthète	0.503	1.00	0.003
from it	frémit	0.607	0.83	0.170
name of	nénette	0.544	0.83	0.000
down into	tanin tout	0.476	0.88	0.261
out and	attarde	0.594	0.83	0.147
which in	laid chine	0.527	1.00	0.308
take the	tiques est	0.529	0.83	0.373
miss darcy	miss archi	0.569	1.00	0.176
eyes and	hais andes	0.533	0.83	0.167
their own	terrine	0.582	0.83	0.045
he came	chicane	0.470	0.83	0.118
assure you	chariot	0.484	0.83	0.170
me on	mienne	0.645	1.00	0.170
acquainted with	inclinent douai	0.506	0.82	0.104
young lady	ion ledit	0.643	0.88	0.174
return to	rhin tout	0.712	0.83	0.444
who have	suave	0.523	0.80	0.093
and who	en doux	0.573	0.80	0.436
not that	nantes ente	0.599	1.00	0.186
only one	on lichens	0.536	0.88	0.492
elizabeth had	les aimait aide	0.530	0.90	0.404
near the	nerfs est	0.536	1.00	0.421
my sister	maoïste	0.729	0.86	0.049
more and	moraine	0.680	0.83	0.016
power to	partout	0.790	1.00	0.388
be it	béate	0.626	1.00	0.000
all over	hollande	0.563	0.80	0.296
the middle	demain elle	0.649	1.00	0.410
from which	frein ouest	0.538	1.00	0.373
head of	est ève	0.552	0.80	0.405
st simon	cet semaines	0.654	0.90	0.334
man in	main n	0.646	1.00	0.548
sense of	saines ève	0.763	1.00	0.159
who has	toise	0.516	0.80	0.013
at one	antoine	0.625	1.00	0.347
which are	laid char	0.530	1.00	0.380
at such	et patch	0.581	1.00	0.491
day and	décade	0.606	0.83	0.007
the ladies	gelées use	0.628	0.88	0.328
much to	mâchent ou	0.770	0.83	0.176
for your	formèrent	0.714	1.00	0.066
till the	tilde	0.549	0.80	0.000
him at	imite	0.545	0.80	0.187
so it	souhaite	0.637	0.80	0.270
she will	chiale	0.581	0.80	0.141
take it	tapette	0.571	0.83	0.135
him from	un frime	0.579	0.86	0.334
though he	jaillit	0.498	0.80	0.103
the king	secouent	0.469	0.80	0.045
it out	gratte	0.593	0.80	0.281
on which	on kitsch	0.586	1.00	0.457
as far	avare	0.517	0.80	0.170
for their	fors air	0.837	1.00	0.262
of men	aux mène	0.676	1.00	0.399
night and	bâtarde	0.472	0.86	0.170
endeavoured to	n s tout	0.677	1.00	0.665
had ever	et ève	0.638	0.80	0.456
thought that	sont date	0.498	1.00	0.421
round and	rendent halte	0.520	0.88	0.294
that for	d for	0.673	1.00	0.797
the police	démolissent	0.611	1.00	0.000
ship and	chamade	0.529	0.83	0.011
not very	mat verrez	0.653	1.00	0.178
be found	but hard	0.556	0.86	0.624
likely to	laïcité	0.558	0.88	0.336
must not	mat nattes	0.678	1.00	0.080
that no	d nos	0.514	0.83	0.569
want to	votent tout	0.660	1.00	0.403
are to	eurent ou	0.718	1.00	0.352
and therefore	n gèrent ores	0.597	1.00	0.312
if we	est ouïes	0.654	1.00	0.285
looked at	lactée	0.576	0.83	0.143
up with	appoint	0.519	0.80	0.170
was as	oies aise	0.631	1.00	0.189
in spite	un sparte	0.652	1.00	0.399
and which	in kitsch	0.484	1.00	0.492
which would	laid chouette	0.512	1.00	0.392
from their	frein der	0.718	1.00	0.298
which we	laid jouit	0.596	1.00	0.343
they will	civil	0.499	0.83	0.369
it from	est frime	0.596	1.00	0.309
the carriage	requérir	0.452	0.88	0.070
them but	vain battent	0.507	1.00	0.376
with this	ouais dix	0.562	1.00	0.259
his sister	aux zeste	0.568	0.86	0.268
thank you	tan coup	0.511	0.83	0.254
sat down	cent dan	0.672	0.86	0.387
from me	frein mis	0.770	1.00	0.328
resolved to	salves doux	0.628	0.88	0.097
returned to	raid tout	0.714	0.86	0.418
from this	frein dix	0.644	1.00	0.326
into my	un thomas	0.532	0.86	0.414
the deep	laid hip	0.702	1.00	0.308
george allen	lord jalonnent	0.653	0.90	0.272
though it	poète	0.497	0.80	0.392
the word	géode	0.498	0.80	0.000
you the	youpi	0.588	1.00	0.139
this morning	dit morne	0.586	0.78	0.381
every day	aux rider	0.614	0.86	0.392
nothing to	naviguent ou	0.617	1.00	0.243
had seen	et dîne	0.619	0.83	0.388
and were	en douai	0.552	1.00	0.422
when it	ouest	0.687	0.80	0.526
this way	déçoit	0.505	0.83	0.152
had taken	aident école	0.559	0.78	0.184
is of	aux ève	0.522	1.00	0.326
you said	yeux aide	0.702	1.00	0.316
felt that	celtes êtes	0.636	1.00	0.260
since the	saines ce	0.667	1.00	0.399
is my	émail	0.500	0.80	0.152
appearance of	éperon savent	0.528	0.89	0.280
according to	écart un tout	0.555	1.00	0.533
before him	intérim	0.457	0.86	0.277
means of	mines ève	0.845	1.00	0.206
my uncle	maillon quel	0.630	1.00	0.260
the living	gelais aine	0.497	1.00	0.019
believe that	blés jatte	0.607	1.00	0.013
of old	aborde	0.484	0.83	0.233
which were	laid choix	0.515	1.00	0.308
and let	en blettes	0.693	1.00	0.283
have to	savent ou	0.702	1.00	0.454
the top	retape	0.601	1.00	0.001
he cried	dégrade	0.581	0.86	0.183
mast heads	mes cèdre	0.559	0.88	0.257
on deck	on teck	0.670	1.00	0.431
by george	bat georges	0.765	0.78	0.160
dare say	bercé	0.701	0.83	0.099
want of	on savent	0.526	0.83	0.644
many of	main ève	0.635	0.83	0.308
no other	noël	0.515	0.80	0.480
the moment	demain êtes	0.520	0.78	0.334
to and	tilde	0.596	0.80	0.000
much the	matchs est	0.603	1.00	0.541
who would	ovide	0.499	0.80	0.170
in what	un watts	0.619	1.00	0.430
he never	un ève	0.713	0.80	0.429
wished to	lèchent tout	0.676	1.00	0.269
all and	hollande	0.758	0.80	0.296
was all	isole	0.716	0.80	0.160
he asked	kiosque	0.463	0.83	0.210
not help	nid elbe	0.572	0.86	0.175
but they	bêtes et	0.538	0.83	0.525
do it	diète	0.611	1.00	0.212
by an	baronne	0.659	1.00	0.388
more to	meurent ou	0.810	1.00	0.302
by all	bagnole	0.742	1.00	0.242
known to	notent ou	0.772	0.83	0.279
was too	oies tout	0.717	1.00	0.354
before you	biniou	0.615	0.83	0.000
will have	oisive	0.555	0.83	0.000
her that	aux êtes	0.507	0.80	0.453
in london	un lin donne	0.531	1.00	0.421
from all	frivole	0.726	1.00	0.064
they would	tolède	0.482	0.83	0.112
her in	arène	0.543	0.80	0.256
is now	etna	0.531	0.80	0.055
said to	cèdent ou	1.000	1.00	0.285
tried to	trahis tout	0.799	1.00	0.366
be done	bibine	0.719	1.00	0.000
state of	tsf	0.498	0.86	0.000
found in	fan n	0.673	0.86	0.456
capable of	québécoise	0.503	0.80	0.365
now in	narines	0.697	1.00	0.175
this matter	dits mare	0.511	1.00	0.249
cause of	cons ève	0.640	1.00	0.257
one and	en hard	0.491	0.83	0.535
before me	parmi	0.654	0.83	0.333
me from	met ram	0.579	1.00	0.371
with that	ouais date	0.560	1.00	0.233
the dead	laid aide	0.725	1.00	0.358
to some	taux âme	0.619	1.00	0.422
by any	bâillon et	0.604	1.00	0.386
and one	en douanes	0.631	1.00	0.448
them the	gemmes est	0.524	1.00	0.358
knowledge of	nazis job	0.549	1.00	0.235
bennet was	ben est oses	0.700	0.88	0.302
to such	tenace	0.546	0.83	0.179
you in	yourte	0.588	1.00	0.000
in town	un tanne	0.643	0.83	0.315
copyright by	contrat bail	0.562	0.82	0.399
them all	bémol	0.698	1.00	0.231
was then	oies zen	0.667	1.00	0.168
you should	couchette	0.497	1.00	0.051
very good	verrière	0.604	0.86	0.124
elizabeth and	les bedaine	0.510	0.80	0.331
be able	bénévole	0.552	1.00	0.242
object of	objective	0.653	0.89	0.242
we can	icône	0.613	0.80	0.267
air and	errante	0.655	0.80	0.024
you cannot	rouquin hâte	0.582	1.00	0.075
ready to	raies itou	0.837	1.00	0.044
her ladyship	allées œdipe	0.565	0.80	0.215
to meet	imite	0.703	0.80	0.187
but we	but oui	0.786	1.00	0.621
the poor	report	0.595	1.00	0.512
what had	laid aide	0.514	0.83	0.358
he took	est oc	0.545	0.80	0.410
my hand	marianne	0.553	0.86	0.284
door and	daurade	0.752	0.83	0.000
the cause	dépose	0.571	1.00	0.304
was on	oies aune	0.645	1.00	0.115
the bed	remède	0.583	1.00	0.309
the ocean	diogène	0.507	0.86	0.070
the mate	remettent	0.584	0.83	0.227
ye see	récit	0.633	1.00	0.413
case of	quais ève	0.617	0.83	0.192
the course	décorent	0.586	0.83	0.037
in and	un hard	0.507	1.00	0.545
even in	hiberne	0.562	0.83	0.000
so well	sorel	0.754	0.83	0.168
not but	mat battent	0.614	1.00	0.203
the neighbourhood	don ébène	0.494	0.78	0.308
