component_id	component_weight	homophonic_hops	node	rank_score	semantic_strings	path	path_edge_scores	attached_count	has_multi	has_generated	attachments
en:proves	0.95	0	fr:prouve	0.9975	en:prove | en:proves | fr:prouve	fr:prouve		5	1	1	prove->prouve[whole:S:1]; proved->prouve[whole:A:0.822]; proves->prouve[whole:A:0.822]; disprove->dis prouve[multi:A:0.796]:dɪs+pɹuv; proof->prouve[whole:A:0.785]
en:western	0.95	0	fr:ouest	0.9675	en:west | en:western | fr:ouest	fr:ouest		12	1	0	west->ouest[whole:S:1]; southwest->cent ouest[multi:A:0.933]; northwest->nœud ouest[multi:S:0.932]; northwest->notes ouest[multi:A:0.858]; western->ouest haines[multi:A:0.847]; quest->ouest[whole:A:0.822]; western->ouest[whole:A:0.822]; worst->ouest[whole:A:0.785]; wet->ouest[whole:A:0.781]; waist->ouest[whole:B_safe:0.758]; waste->ouest[whole:B_safe:0.758]; went->ouest[whole:B_safe:0.726]
en:roses	0.95	0	fr:rose	0.9615	en:roses | fr:rose	fr:rose		2	1	0	destroys->dissent rose[multi:A:0.96]; rows->rose[whole:A:0.833]
en:western	0.95	0	en:western	0.9615	en:west | en:western | fr:ouest	en:western		3	1	0	western->ouais tonnes[multi:S:0.96]; western->ouest haines[multi:A:0.847]; western->ouest[whole:A:0.822]
en:breeze	0.95	0	fr:brise	0.9575	en:breeze | fr:brise	fr:brise		4	0	1	braes->brise[whole:S:1]:bɹ+iz; breeze->brise[whole:S:1]; breeds->brise[whole:A:0.822]; bees->brise[whole:A:0.781]
en:air	0.95	0	en:air	0.9275	en:air | fr:airs	en:air		3	0	0	air->aires[whole:S:1]; air->airs[whole:S:1]; air->ère[whole:S:1]
en:air	0.95	0	fr:airs	0.9275	en:air | fr:airs	fr:airs		3	0	0	air->airs[whole:S:1]; error->airs[whole:S:1]; heir->airs[whole:S:1]
en:breeze	0.95	0	en:breeze	0.9275	en:breeze | fr:brise	en:breeze		3	0	0	breeze->brise[whole:S:1]; breeze->brisées[whole:A:0.822]; breeze->brisés[whole:A:0.822]
en:proves	0.95	0	en:prove	0.9275	en:prove | en:proves | fr:prouve	en:prove		3	0	0	prove->prouve[whole:S:1]; prove->prouvent[whole:S:1]; prove->éprouvent[whole:A:0.822]
en:western	0.95	0	en:west	0.9275	en:west | en:western | fr:ouest	en:west		2	0	0	west->ouest[whole:S:1]; west->est[whole:A:0.781]
en:rose	0.95	0	en:rose	0.9024	en:rose | fr:roses	en:rose		1	0	0	rose->roses[whole:A:0.833]
en:rose	0.95	0	fr:roses	0.9024	en:rose | fr:roses	fr:roses		2	0	0	rose->roses[whole:A:0.833]; rows->roses[whole:A:0.833]
en:proves	0.95	0	en:proves	0.9008	en:prove | en:proves | fr:prouve	en:proves		2	0	0	proves->prouve[whole:A:0.822]; proves->prouvent[whole:A:0.822]
en:air	0.95	1	fr:aires	0.8875	en:air | fr:airs	en:air -> fr:aires	1.0	4	1	0	air->aires[whole:S:1]; error->aires[whole:S:1]; heir->aires[whole:S:1]; errors->aires aise[multi:A:0.785]
en:breeze	0.95	1	en:braes	0.8775	en:breeze | fr:brise	fr:brise -> en:braes	1.0	1	0	1	braes->brise[whole:S:1]:bɹ+iz
en:western	0.95	1	fr:ouais tonnes	0.8675	en:west | en:western | fr:ouest	en:western -> fr:ouais tonnes	0.96	1	1	0	western->ouais tonnes[multi:S:0.96]
en:air	0.95	1	en:error	0.8475	en:air | fr:airs	fr:airs -> en:error	1.0	3	0	0	error->aires[whole:S:1]; error->airs[whole:S:1]; error->ère[whole:S:1]
en:air	0.95	1	en:heir	0.8475	en:air | fr:airs	fr:airs -> en:heir	1.0	3	0	0	heir->aires[whole:S:1]; heir->airs[whole:S:1]; heir->ère[whole:S:1]
en:air	0.95	1	fr:ère	0.8475	en:air | fr:airs	en:air -> fr:ère	1.0	3	0	0	air->ère[whole:S:1]; error->ère[whole:S:1]; heir->ère[whole:S:1]
en:proves	0.95	1	fr:prouvent	0.8475	en:prove | en:proves | fr:prouve	en:prove -> fr:prouvent	1.0	5	0	0	prove->prouvent[whole:S:1]; approve->prouvent[whole:A:0.822]; proved->prouvent[whole:A:0.822]; proves->prouvent[whole:A:0.822]; proof->prouvent[whole:A:0.785]
en:western	0.95	1	fr:est	0.8379	en:west | en:western | fr:ouest	en:west -> fr:est	0.781	23	1	1	possessed->paix est[multi:S:0.98]; obsessed->aubes est[multi:S:0.96]; greatest->créent est[multi:A:0.955]; practiced->braquent est[multi:S:0.955]; latest->laid est[multi:A:0.952]; dentist->donnent est[multi:S:0.949]; resist->ries est[multi:S:0.944]; eldest->elles est[multi:S:0.94]; finest->faon est[multi:A:0.94]; modest->mot est[multi:S:0.94]; closest->clous est[multi:A:0.935]; invest->haines est[multi:A:0.931]
en:western	0.95	1	fr:ouest haines	0.811	en:west | en:western | fr:ouest	en:western -> fr:ouest haines	0.847	1	1	0	western->ouest haines[multi:A:0.847]
en:breeze	0.95	2	fr:bride	0.7752	en:breeze | fr:brise	fr:brise -> en:breeds -> fr:bride	0.822,0.822	6	1	1	brede->bride[whole:S:1]:bɹ+id; breed->bride[whole:S:1]; breeds->bride[whole:A:0.822]; buried->bride[whole:A:0.822]; briefly->bride lies[multi:A:0.803]; brad->bride[whole:B_safe:0.77]
en:breeze	0.95	1	en:bees	0.7709	en:breeze | fr:brise	fr:brise -> en:bees	0.781	4	0	0	bees->bise[whole:S:1]; bees->bises[whole:S:1]; bees->brise[whole:A:0.781]; bees->pise[whole:B_safe:0.73]
en:rose	0.95	1	en:rows	0.764	en:rose | fr:roses	fr:roses -> en:rows	0.833	2	0	0	rows->rose[whole:A:0.833]; rows->roses[whole:A:0.833]
en:roses	0.95	1	en:rows	0.764	en:roses | fr:rose	fr:rose -> en:rows	0.833	2	0	0	rows->rose[whole:A:0.833]; rows->roses[whole:A:0.833]
en:proves	0.95	1	fr:éprouvent	0.7601	en:prove | en:proves | fr:prouve	en:prove -> fr:éprouvent	0.822	2	0	0	approve->éprouvent[whole:A:0.833]; prove->éprouvent[whole:A:0.822]
en:breeze	0.95	1	en:breeds	0.7585	en:breeze | fr:brise	fr:brise -> en:breeds	0.822	3	0	0	breeds->bride[whole:A:0.822]; breeds->brise[whole:A:0.822]; breeds->bridge[whole:A:0.81]
en:breeze	0.95	1	fr:brisées	0.7585	en:breeze | fr:brise	en:breeze -> fr:brisées	0.822	1	0	0	breeze->brisées[whole:A:0.822]
en:breeze	0.95	1	fr:brisés	0.7585	en:breeze | fr:brise	en:breeze -> fr:brisés	0.822	1	0	0	breeze->brisés[whole:A:0.822]
en:proves	0.95	1	en:proved	0.7585	en:prove | en:proves | fr:prouve	fr:prouve -> en:proved	0.822	2	0	0	proved->prouve[whole:A:0.822]; proved->prouvent[whole:A:0.822]
en:western	0.95	1	en:quest	0.7585	en:west | en:western | fr:ouest	fr:ouest -> en:quest	0.822	2	0	0	quest->couette[whole:A:0.822]; quest->ouest[whole:A:0.822]
en:rose	0.95	2	fr:rose	0.743	en:rose | fr:roses	fr:roses -> en:rows -> fr:rose	0.833,0.833	2	1	0	destroys->dissent rose[multi:A:0.96]; rows->rose[whole:A:0.833]
en:proves	0.95	1	en:proof	0.74	en:prove | en:proves | fr:prouve	fr:prouve -> en:proof	0.785	3	0	0	proof->prouve[whole:A:0.785]; proof->prouvent[whole:A:0.785]; proof->proue[whole:A:0.781]
en:western	0.95	1	en:worst	0.74	en:west | en:western | fr:ouest	fr:ouest -> en:worst	0.785	1	0	0	worst->ouest[whole:A:0.785]
en:western	0.95	1	en:wet	0.738	en:west | en:western | fr:ouest	fr:ouest -> en:wet	0.781	3	0	0	wet->chouettes[whole:A:0.781]; wet->couette[whole:A:0.781]; wet->ouest[whole:A:0.781]
en:breeze	0.95	2	fr:bise	0.7292	en:breeze | fr:brise	fr:brise -> en:bees -> fr:bise	0.781,1.0	8	0	0	bees->bise[whole:S:1]; beads->bise[whole:A:0.781]; beams->bise[whole:A:0.781]; beans->bise[whole:A:0.781]; beers->bise[whole:A:0.781]; peas->bise[whole:B_safe:0.73]; pease->bise[whole:B_safe:0.73]; pees->bise[whole:B_safe:0.73]
en:breeze	0.95	2	fr:bises	0.7292	en:breeze | fr:brise	fr:brise -> en:bees -> fr:bises	0.781,1.0	8	0	0	bees->bises[whole:S:1]; beads->bises[whole:A:0.781]; beams->bises[whole:A:0.781]; beans->bises[whole:A:0.781]; beers->bises[whole:A:0.781]; peas->bises[whole:B_safe:0.73]; pease->bises[whole:B_safe:0.73]; pees->bises[whole:B_safe:0.73]
en:western	0.95	1	en:waist	0.7265	en:west | en:western | fr:ouest	fr:ouest -> en:waist	0.758	1	0	0	waist->ouest[whole:B_safe:0.758]
en:proves	0.95	2	en:approve	0.7113	en:prove | en:proves | fr:prouve	en:prove -> fr:prouvent -> en:approve	1.0,0.822	3	0	0	approve->éprouve[whole:A:0.833]; approve->éprouvent[whole:A:0.833]; approve->prouvent[whole:A:0.822]
en:roses	0.95	2	fr:roses	0.684	en:roses | fr:rose	fr:rose -> en:rows -> fr:roses	0.833,0.833	2	0	0	rose->roses[whole:A:0.833]; rows->roses[whole:A:0.833]
en:proves	0.95	2	fr:proue	0.6587	en:prove | en:proves | fr:prouve	fr:prouve -> en:proof -> fr:proue	0.785,0.781	1	0	0	proof->proue[whole:A:0.781]
